,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.12843539050600328,0.1276971947456923,0.14702692133098816,0.09211244344430503,0.1702499413795241,0.1400980619591642,0.11346601874843498,0.13631492221493124,0.035071999550728816,0.018110461781236764,0.12081599733091186,0.1315438488661832
MSE,,6.708168009231279,6.713849677727139,6.56507464476435,6.987734697490624,6.38633411483649,6.618403970292515,6.823382715804449,6.6475216475481895,7.426757664682221,7.557305467809211,6.7668121636521175,6.684243149613709
Intercept,,,,,,,,,,28.275545600239912,28.304457286750186,26.961406706186363,27.385274741897142
tpac_16S_v2_asv0001250,0.03859339834073245,0.24444386474227786,0.24381357221871575,0.25085131163935426,0.24186960197411944,0.15255797585229022,0.2529072566474891,0.25532944655114215,0.25625281189331967,-6.023552823866376,-5.800723098122694,-0.598903402659942,-1.7134501091045986
tpac_16S_v2_asv0000105,0.029882585546091227,0.028433683287723062,0.0399397839763346,0.03741146211841559,0.04557054209345051,0.22844688866737844,0.36916397049298544,0.37127055476078336,0.29387489816586965,0.561615270577119,0.5359077786422417,0.20013574559337774,0.14759664047035279
tpac_16S_v2_asv0023313,0.010394371036572961,0.042275898467042466,0.05575150259864418,0.04770867371223862,0.056409930596434864,0.013110782355522637,0.11146947867726122,0.10505266304547539,0.08800028034307757,-7.12536670398297,-7.28041063356435,-0.028823978887839496,-1.269370305753632
tpac_16S_v2_asv0026139,0.00867085611666632,0.02049083153276257,0.04899698672058332,0.07137370334801794,0.06547401672774751,0.01186353177645888,0.08313919977738538,0.07581380452058607,0.05729694789403076,-8.453933682460924,-8.597179815258366,-0.20596890756271866,-0.7598342153206249
tpac_16S_v2_asv0006744,0.0075218207668025045,0.058515905375668996,0.09016570121097571,0.08335122243060206,0.0986883489698348,0.0569482211443436,0.0,0.0,0.13718808079701625,-8.241033421747401,-8.621281607908571,-0.0,0.0
tpac_16S_v2_asv0000227,0.005723938691854838,0.010811730079007431,0.035344595608385085,0.02770985872775265,0.0,0.0021707680365685585,0.07590040695595902,0.08876179041568803,0.07081348210922885,-4.28735313621769,-3.428096480373831,-0.13137596161740245,-0.557037151375925
tpac_16S_v2_asv0025960,0.004639555588611769,0.02956566066496116,0.06290760210577963,0.055152679031219405,0.060230473499074906,0.022126755350493722,0.0,0.0,0.09657349879745726,-11.036948062238348,-11.498448402339745,-0.0,0.0
tpac_16S_v2_asv0024441,0.003523695484056509,0.06067784056170841,0.05377979206195095,0.05459618258013495,0.056514374530143845,0.056931524251516874,0.0,0.0,0.0,-7.029648477646681,-7.184413290322525,-0.0,0.0
tpac_16S_v2_asv0036783,0.0031919959319928223,0.01623397014451029,0.0,0.0,0.05453738974629365,0.0006784835226052624,0.10741968744891991,0.10377174070632506,0.0,-0.0,0.0,-0.1309909281316917,-1.0369134118205263
tpac_16S_v2_asv0079268,0.0022124782251400016,0.0351706925916784,0.046426003752337894,0.03258703918214978,0.0437282402503762,0.02546284901286425,0.0,0.0,0.0,-7.533941499521305,-7.867654113818967,-0.0,0.0
tpac_16S_v2_asv0029160,0.002124613813208255,0.03387847171146569,0.03940521774823939,0.03686195228946915,0.04112977254398409,0.0239128048585066,0.0,0.0,0.0,-5.146015254634914,-5.304020644935532,-0.0,0.0
tpac_16S_v2_asv0025661,0.0017432225962116818,0.03093660588064177,0.05938028845589024,0.04734915110895924,0.0,0.022294269057306436,0.0,0.0,0.0,-19.847053225294253,-20.85472168012531,-0.0,0.0
tpac_16S_v2_asv0021503,0.0016619644509869441,0.017932307946156942,0.03554877216932565,0.0409268167173795,0.038849500009013625,0.0075720033112066055,0.0,0.0,0.0,-5.60515037245299,-5.786322135806045,-0.0,0.0
tpac_16S_v2_asv0006422,0.001418311364434714,0.004850500968011684,0.051935235843697476,0.0624953551140659,0.0,0.010049494756476634,0.0,0.0,0.0,-8.139087713754607,-8.579094245300583,-0.0,0.0
tpac_16S_v2_asv0006419,0.0010854875674904511,0.0015800874434045247,0.02591115159458283,0.018380013964962937,0.057128887951555685,0.0006001482617549552,0.0,0.0,0.0,-11.847780228877248,-19.15216609700689,-0.0,0.0
