,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.3331365867515176,0.0,0.03342592950911061,0.29828016890682196,0.3731777153204765,0.41614689296967167,0.40268885697046264,0.35089872886096274,0.0,0.0,0.3657864504636823,0.41303294736956764
MSE,,5.132645091999987,8.43591125440002,7.439426965700017,5.400924350422304,4.824460690299982,4.493739984399989,4.597322398799983,4.9959352804999835,7.760009388709232,8.007323110165435,4.88134901036255,4.517707077636176
Intercept,,,,,,,,,,43.57951486315264,47.565370212738564,24.98726422998132,24.38769356955736
tpac_16S_v2_asv0000578,0.08250755692817946,0.15714797697340027,0.0,0.0,0.26321788658348894,0.3423778658669361,0.43635346541096554,0.43635346541096554,0.3944750198078151,-0.0,0.0,-0.8204673803858289,-1.3682679256745902
tpac_16S_v2_asv0000262,0.023581212843087142,0.06686121415685682,0.0,0.0,0.24013982404442832,0.048659994641221324,0.09352094847712226,0.09352094847712226,0.07683035732437025,0.0,0.0,0.27153884566155884,0.3044920922076901
tpac_16S_v2_asv0000308,0.017547446862615702,0.045659581207651866,0.0,0.0,0.0,0.10922219933640548,0.20594747115908393,0.20594747115908393,0.0,-0.0,0.0,-0.3779664508174476,-0.7970323568606761
tpac_16S_v2_asv0000013,0.012859783206313341,0.04801891907771282,0.0,0.2607992898608413,0.0,0.025904087576725687,0.06280800752530373,0.06280800752530373,0.048639896936579115,-0.0,-3.443698003868583e-05,0.27380247695691284,0.32407588225634265
tpac_16S_v2_asv0000016,0.010162628804427766,0.05407749557629672,0.3089384306712111,0.24934193799505333,0.0,0.01433765460372035,0.060574857548088924,0.060574857548088924,0.0,-21.72962606730194,-33.39848365420852,0.006887159539271395,0.014586865537493837
remaining features,0.00820574160192089,0.25023689865484156,0.6910615693287889,0.48985877214410534,0.0,0.01419281270793794,0.0,0.0,0.0,-16.61787684855927,-20.65021632544712,-0.0,0.0
tpac_16S_v2_asv0000404,0.007877859996165248,0.05424360735739378,0.0,0.0,0.14615681143767603,0.038211924702887964,0.0,0.0,0.14283241416140038,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0004580,0.0057369143952499865,0.01836315291020333,0.0,0.0,0.07434066694620324,0.0515731490981645,0.0,0.0,0.1261130119777044,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0000191,0.0034008289650783174,0.02448596365404695,0.0,0.0,0.0,0.011610479174922162,0.03790829639273508,0.03790829639273508,0.0,0.0,0.0,0.01916498799146036,0.042095264570470095
tpac_16S_v2_asv0008498,0.0033559891481688134,0.020078930231551776,0.0,0.0,0.054012918910234714,0.028622698447060876,0.0,0.0,0.057607687451250895,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0003142,0.002712635139034734,0.01458957144109599,0.0,0.0,0.056141857025997985,0.014068202733921582,0.0,0.0,0.047152920430470265,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0000406,0.0024797877156168685,0.009983674783971575,0.0,0.0,0.0,0.004987889153826513,0.0324289533552621,0.0324289533552621,0.0,0.0,0.0,0.11172520476142071,0.11757700818485539
tpac_16S_v2_asv0017612,0.001984009560510072,0.018128538436318856,0.0,0.0,0.03882384409099473,0.009254515078899697,0.0,0.0,0.03041023265804885,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0010186,0.001865272527418208,0.019826518857195597,0.0,0.0,0.0,0.017527394251665135,0.0,0.0,0.07593845925236069,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0000830,0.0018206112266859586,0.001886441163076062,0.0,0.0,0.0,0.0045702581125599126,0.02560936384625206,0.02560936384625206,0.0,0.0,0.0,0.027186045406218516,0.24833970943162145
