,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.6980993837435084,0.47119194846172063,0.4381634292362524,0.5586967332569626,0.5641505978684083,0.6275079504469816,0.6267240993047425,0.47749037962222096,0.0,0.0,0.6013437157569315,0.6309584148531404
MSE,,2.3236373228999896,4.070074915515997,4.324285393599999,3.396577171775689,3.3546004327999985,2.866958138600006,2.872991202700005,4.021597804399997,124.6662599536108,292.32300248583203,3.0683363040531817,2.840400962351394
Intercept,,,,,,,,,,27.144515811770972,27.135394708039794,26.49020798301735,26.2754422878126
tpac_16S_v2_asv0001600,0.3575258415484619,0.4048320647205031,0.4936054997310387,0.4914479030505265,0.4802285715722291,0.44785978828134776,0.6195392189805741,0.6195392189805741,0.543731351269332,-28.903522728473565,-31.32786060362794,-0.8221051517639698,-0.9309286583734752
tpac_16S_v2_asv0000030,0.05030739047684769,0.08608708945398838,0.0,0.0,0.19120508401645464,0.0439707960616089,0.13768559601694905,0.13768559601694905,0.20007616973683248,-0.0,0.0,-0.35554966113919734,-0.9023337995359417
tpac_16S_v2_asv0000104,0.02598179172990557,0.13476513309755417,0.0,0.0,0.0,0.07930475438879975,0.15447512540712116,0.15447512540712116,0.0,-0.0,0.0,0.27379354720170007,0.31087270337482853
tpac_16S_v2_asv0000567,0.025862794222678412,0.1277233675601214,0.0,0.0,0.20203627390863238,0.158529749740801,0.0,0.0,0.25619247899383546,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0018150,0.019136594270637696,2.8658862357472516e-05,0.07062312134106723,0.02049399762815164,0.0,0.0001191459533429877,0.08830005959535576,0.08830005959535576,0.0,-82.52402488436485,-152.7659404478711,-0.41631216970978446,-0.909155483510708
tpac_16S_v2_asv0000014,0.017537971487898988,0.04327642898084456,0.3086206171373516,0.09856026551078279,0.0,0.010050034188273166,0.0,0.0,0.0,3.8710298075999616,4.587351658047266,0.0,0.0
remaining features,0.008902707429825307,0.058856208068917365,0.0,0.220689242415553,0.0,0.008256449714072921,0.0,0.0,0.0,-0.0,-0.00020994910102664947,0.0,0.0
tpac_16S_v2_asv0000176,0.00657089047746483,0.010494297929183313,0.08863110314325848,0.053011537394287246,0.0,0.020901078614058592,0.0,0.0,0.0,1.6749458454251651,7.224602455858772,-0.0,0.0
tpac_16S_v2_asv0940322,0.002168956674883873,0.00481475654579705,0.0,0.0,0.04680480465271573,0.02970874400644857,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0026139,0.0021064208580050866,0.005840816161175994,0.0,0.02307969104696309,0.021011058026317146,0.0018314804012732433,0.0,0.0,0.0,-0.0,9.512363508804703e-05,-0.0,0.0
tpac_16S_v2_asv0000720,0.002097731178803555,0.0012756806664340297,0.03534784199695588,0.012116946720423504,0.0,0.007082480715849555,0.0,0.0,0.0,-7.7207116208387045,-12.144942771523336,-0.0,0.0
tpac_16S_v2_asv0000215,0.0014239529410576901,0.0035695412123558016,0.0,0.04206168034805101,0.0,0.0032995842645964567,0.0,0.0,0.0,0.0,-1.5383664423299018e-05,0.0,0.0
tpac_16S_v2_asv0004032,0.001265212026373653,0.007674579052004187,0.0,0.0,0.029306250493725997,0.009324220508312449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0087224,0.0010187823374018304,0.005278332446477602,0.0,0.028705579713713146,0.0,6.732515203965868e-05,0.0,0.0,0.0,-0.0,1.580824823923951e-05,-0.0,0.0
tpac_16S_v2_asv0078795,0.0007025623077028747,0.0024187523353570183,0.0,0.0,0.022515770585457808,0.0012762175787499096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0032147,0.0005429590293845265,0.017414991798867865,0.0,0.0,0.0,0.009248051703445864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0001944,0.0004387640466681398,0.002098895641451505,0.0,0.009571371526258034,0.0,0.0024127635910598856,0.0,0.0,0.0,0.0,-1.210193561867515e-05,0.0,0.0
tpac_16S_v2_asv0000464,0.0004191022512041392,0.010410307423884784,0.0,0.0,0.0,0.01089043043568857,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0000101,0.00033493653220469934,0.008332409227907962,0.0,0.0,0.0,0.008687608064172124,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0000102,0.00032861112984315226,0.006588477228282424,0.0,0.0,0.0,0.010486817322293705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0601590,0.00022851406606528535,0.008927803336603314,0.0,0.0,0.0,0.0019143046390514078,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0019629,0.0002282858536652234,0.0006550546922725882,0.0,0.0,0.0,0.01213834402758298,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0191162,0.0002248795676924715,0.0016470364546590651,0.0,0.0,0.0,0.010717618761735057,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0008583,0.00020659788970102635,0.0023381963339174083,0.0,0.0,0.0033409692198808913,0.0016104558632915984,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0172764,0.00020349360583026116,0.005784640163922046,0.0,0.0,0.0,0.004384541401360704,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0155083,0.00019965755593546596,0.001418671644853797,0.0,0.0,0.0027375339966386964,0.0030834605117035724,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0016398,0.0001964854916705734,0.003368195774923542,0.0,0.0,0.0,0.0069772155759992285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0696998,0.00016925237744454589,0.004932526735614245,0.0,0.0,0.0,0.0034967297938677806,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0294331,0.00016400307907250486,0.006108555681200058,0.0,0.0,0.0,0.0017437180381061057,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0005286,0.00014011950392419856,9.074984829046829e-05,0.003171816650328219,0.00026178464529016607,0.0,0.000214372389193748,0.0,0.0,0.0,8.200256415046207,8.907407079035362,0.0,0.0
tpac_16S_v2_asv0274466,0.00010118194173293829,0.0011223452549057168,0.0,0.0,0.0,0.004350458217947998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0644833,8.559394376121835e-05,0.0029796023171748077,0.0,0.0,0.0,0.0011680350272219823,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0301951,6.800899677086603e-05,0.001364143244445006,0.0,0.0,0.0,0.002169598584150194,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001190,6.517555278597967e-05,0.002280690974091227,0.0,0.0,0.0,0.0008747109858491833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0368769,6.331068421493318e-05,0.0014016205299423837,0.0,0.0,0.0,0.0018567231349937586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0238775,5.991216408645134e-05,0.0005501859912357389,0.0,0.0,0.0,0.0027175452000461563,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0172193,5.354446672500521e-05,9.973155011385439e-06,0.0,0.0,0.0,0.0030248318237726707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0013196,5.117824116314904e-05,0.0009073678613670605,0.0,0.0,0.0,0.001780146606537873,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0007473,5.079907820874093e-05,7.472865378173495e-05,0.0,0.0,0.0,0.002788975995898359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0456910,5.048792077761074e-05,2.836095718070106e-05,0.0,0.0,0.0,0.0028287033713745246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0549383,4.7322978660058075e-05,0.0015647534118282279,0.0,0.0,0.0,0.0007479951739986461,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv1232925,4.684614324873586e-05,0.000402036564964939,0.0,0.0,0.0,0.002159733784416497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0001402,4.537990344997881e-05,0.0014824337626862922,0.0,0.0,0.0,0.0007396443712088059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0005097,4.415304149715074e-05,8.749399766711788e-05,0.0,0.0,0.0,0.0023962002826264364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0001063,4.2896182511379826e-05,0.0007332672579105636,0.0,0.0,0.0,0.0015258060928232523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0031819,3.700642741365254e-05,1.7790139179880685e-05,0.0,0.0,0.0,0.0020770808299524694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0512134,3.5313057474987564e-05,3.8591844879461616e-05,0.0,0.0,0.0,0.0019552880033090465,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0009694,3.500015525968173e-05,0.0,0.0,0.0,0.0007841501950033296,0.0012087247953917848,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0144475,3.4601836173599155e-05,2.1473496658285075e-05,0.0,0.0,0.0,0.001936128627530028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0002211,3.427243512944297e-05,0.0005871763646677781,0.0,0.0,0.0,0.001217423979366319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0236246,3.2277194563934926e-05,1.2296846212639893e-05,0.0,0.0,0.0,0.0018156247802502661,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0681283,3.182037797680188e-05,2.11702238981072e-06,0.0,0.0,0.0,0.0018023098922056468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0050873,3.052607058045155e-05,0.001388667039620017,0.0,0.0,0.0,1.3128859596673002e-05,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0005158,3.0510797117770856e-05,0.0003317761975249153,0.0,0.0,0.0,0.0013200956474205016,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001085,3.0425700296594444e-05,0.0003698429671142967,0.0,0.0,0.0,0.0012681636158321343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0022891,2.8160710831394053e-05,1.898225729997232e-05,0.0,0.0,0.0,0.0015738550093472464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0002919,2.7332225303727195e-05,0.0004760555809602444,0.0,0.0,0.0,0.0009612630103952492,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0084648,2.630914943295603e-05,0.00040527460516514316,0.0,0.0,0.0,0.0009908184655904528,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0088452,2.5901964678155596e-05,1.0289910414261105e-17,0.0,0.0,0.0,0.001469222709029743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0432528,2.5152178037052703e-05,0.0007330549676391582,0.0,0.0,2.9533332943947274e-05,1.4773360798152797e-05,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0092495,2.4229147601573926e-05,0.0001135602539794108,0.0,0.0,0.0,0.0012338130679282594,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv1232945,2.4125693798791042e-05,6.245538152624617e-05,0.0,0.0,0.0,0.0012911838451623592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0028976,2.3485026923276125e-05,1.1805678408364958e-16,0.0,0.0,0.0,0.0013321280955551707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv1015404,2.3408130054800984e-05,4.33745356903516e-06,0.0,0.0,0.0,0.001322399002870664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0664047,2.1760915349856423e-05,1.2741621600303123e-05,0.0,0.0,0.0,0.0012185653540133163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0427629,1.9588058971986724e-05,0.00018068993698214407,0.0,0.0,0.0,0.0008874906015157204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0992391,1.937459698442851e-05,0.0,0.0,0.0,0.0,0.002197948937196122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0014169,1.9367917985443858e-05,0.0003927276483294118,0.0,0.0,0.0,0.000612620898678937,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0172194,1.9173331878588543e-05,6.7010397294760445e-09,0.0,0.0,0.0,0.0010875499280535025,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0014662,1.8786725232181396e-05,1.9774972499114813e-06,0.0,0.0,0.0,0.001063181923558278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0210142,1.853223479853866e-05,1.0322915283705607e-05,0.0,0.0,0.0,0.0010384196967418498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0272396,1.8117826326477217e-05,0.00040383209427131256,0.0,0.0,0.0,0.0005279716221626585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv1083692,1.762225865166048e-05,0.00010512150699454457,0.0,0.0,0.0,0.0008694965838119583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0008894,1.7514814205907542e-05,0.00022357119187740266,0.0,0.0,0.0,0.0007168283519411487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0556462,1.6891864524540895e-05,4.4279810130071545e-17,0.0,0.0,0.0,0.0009581478187343197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0008303,1.5712388430999826e-05,5.66812391644899e-05,0.0,0.0,0.0,0.0008211057356168863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0004436,1.5638943198587682e-05,1.9722704923240194e-05,0.0,0.0,0.0,0.0008626735060478612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv1004504,1.5589875059031538e-05,8.195683478969285e-17,0.0,0.0,0.0,0.0008842957957926653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0342827,1.51480782862913e-05,7.430329294519763e-09,0.0,0.0,0.0,0.0008592268090905883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0234355,1.440651435414867e-05,5.365980841677842e-05,0.0,0.0,0.0,0.0007507721905206686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0362105,1.4041836768647155e-05,2.962602041506987e-05,0.0,0.0,0.0,0.0007598270242410751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0307338,1.3818507267661709e-05,0.00043635365400150877,0.0,0.0,0.0,0.0002438604445910439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
