,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSE,,6.984859545073316,6.935963016534548,6.958256814853615,7.02746489434842,5.762710134007523,6.00001341543202,6.048059238731568,6.163192828463734,7.144986812626063,7.310990427507427,5.7756649733423115,5.850783997850293
Intercept,,,,,,,,,,28.470085143674446,28.515174971993417,27.47354667142248,27.544739228400047
tpac_16S_v2_asv0000083,0.0,0.011663492715245905,0.012594844671207894,0.011682113673730544,0.0,0.021995638088372176,0.0,0.0,0.0,-0.9173036068602956,-1.0497657684061639,0.0,0.0
tpac_16S_v2_asv0001243,0.0,0.023130234962366755,0.0,0.0,0.0,0.004617115280454071,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0004725,0.0,4.4721883263952004e-08,0.0,0.0,0.0,5.520816663659619e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0002004,0.0,0.13544693745671876,0.13711934312173385,0.12652950141416722,0.1398922422058039,0.09091458643604873,0.253073208833697,0.22598581917875488,0.1722295659671248,-5.100777468056501,-5.542614747143222,-0.171180507057269,-1.0496929738955116
tpac_16S_v2_asv0002100,0.0,0.04652032200268602,0.05235247715692685,0.06304429452686275,0.0,0.06293614336263235,0.0,0.0,0.0,-1.5388201043319323,-1.689285928944022,0.0,0.0
tpac_16S_v2_asv0002372,0.0,0.12072160314134207,0.1316777632277948,0.13581623601302265,0.14537485215347437,0.08209522767846573,0.0,0.0,0.13368851059743714,-3.4990588564610325,-3.5931576425905574,-0.0,0.0
tpac_16S_v2_asv0002488,0.0,0.00102028036881897,0.0,0.0,0.0,0.0022149552486575887,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0002739,0.0,0.00011362581118204956,0.0002640921867913395,0.00022731452800836888,0.0,0.00514384760796994,0.0,0.0,0.0,0.031778990101959705,0.12982114129349992,0.0,0.0
tpac_16S_v2_asv0003609,0.0,0.00043365925762087307,0.0,0.0,0.0,0.0005792353380884037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0004302,0.0,0.0006205381214439011,0.0007818748171775592,0.0006250938298654061,0.0,0.0005239274630377756,0.0,0.0,0.0,-0.21650407469061472,-0.30839100473228376,0.0,0.0
tpac_16S_v2_asv0004483,0.0,0.014521103691251511,0.0,0.0,0.0,0.01412976107137794,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0004568,0.0,0.000235742990786343,0.00012998811043085434,0.0001627226821679175,0.0,0.005570401509446568,0.0,0.0,0.0,7.9431381317720104,9.090432650105342,0.0,0.0
tpac_16S_v2_asv0005017,0.0,0.01797858644544085,0.0,0.0,0.0,0.005269006519816056,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0013393,0.0,0.02419583015967199,0.0,0.0,0.0,0.013365239549403057,0.0,0.0,0.07322359904395699,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0005483,0.0,0.0010551316232086877,0.002683377019020703,0.001192104027281844,0.0,0.1776546833882036,0.36720651076591615,0.31275001266304486,0.0,0.17370297182304228,0.14971602631871517,0.07704201514505515,0.16694570310216914
tpac_16S_v2_asv0006757,0.0,0.0092097854161398,0.02321184985801839,0.020586077543416903,0.0,0.017742034895603845,0.0,0.0,0.0,2.278303151785874,3.3431299139708206,-0.0,0.0
tpac_16S_v2_asv0007755,0.0,1.1732201403994472e-05,3.464602038170432e-05,8.87712900919763e-05,0.0,0.0017862786821408077,0.0,0.0,0.0,-0.16336557108957178,-0.6208395054167657,0.0,0.0
tpac_16S_v2_asv0008842,0.0,0.0297247915726134,0.0,0.0,0.0758993446250335,0.006657037489389952,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0009798,0.0,5.095453993912981e-09,0.0,0.0,0.0,0.0004963534192286085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0010786,0.0,0.041977268514800686,0.08595550326768127,0.09110802230200607,0.05980964312428406,0.012632832034555529,0.19619265982704948,0.15414754288413426,0.0797184625232723,-7.559678249539538,-7.726711886013032,-0.28272156878304056,-0.8286479804666308
tpac_16S_v2_asv0011648,0.0,0.09175315135301883,0.07720864505380565,0.08570104926139872,0.09739292006549122,0.08933728493517869,0.0,0.0,0.10292952243256785,-6.416823229458169,-6.565174975642798,-0.0,0.0
tpac_16S_v2_asv0012777,0.0,0.0003377913405627539,0.0004425798374190448,0.0004080950313414804,0.0,0.005852010032115868,0.0,0.0,0.0,-0.2845702674133405,-0.9169913190280949,0.0,0.0
tpac_16S_v2_asv0013369,0.0,0.007625536577386393,0.023550318269492807,0.023294918747124863,0.0,0.018922467921993272,0.0,0.0,0.0,0.38772439000448505,0.5605309579412607,-0.0,0.0
tpac_16S_v2_asv0014481,0.0,0.00025194382985381676,0.0,0.0,0.0,2.0418487967593053e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0014531,0.0,0.0002522765999050585,0.00040114911245606736,0.0003498400221242988,0.0,0.016548962450282395,0.0,0.0,0.0,1.5713952434497942,4.051598216083306,0.0,0.0
tpac_16S_v2_asv0014837,0.0,3.4126719165826373e-06,0.0,0.0,0.0,0.0008413987528804376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0024681,0.0,0.0032388696549272827,0.0,0.0,0.0,0.0007756718904794275,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0016267,0.0,0.0,0.0,0.0,0.0,2.7723773169738003e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0016422,0.0,0.002273194951708829,0.018960092598170622,0.016072373484573847,0.0,0.0028506493805092697,0.0,0.0,0.0,-10.93952257630788,-14.802929402201869,-0.0,0.0
tpac_16S_v2_asv0016997,0.0,0.011330352781506127,0.0686254912534563,0.07768870633385708,0.0,0.0041647638227189365,0.0,0.17709484660932423,0.0,-8.831862187495878,-9.519037774205678,-0.0,-0.001668726613260442
tpac_16S_v2_asv0017204,0.0,4.623961326853123e-05,0.0,0.0,0.0,2.493001715267973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0018350,0.0,0.009192510864869658,0.0,0.0,0.029188667324939216,0.012917819363681611,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0018512,0.0,2.7489776523066525e-05,0.0,0.0,0.0,0.0005652516987532302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0019304,0.0,1.0010069771706793e-06,0.0,0.0,0.0,0.00021211225215481117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0020224,0.0,1.1361365740189597e-06,0.0,0.0,0.0,2.785950736088394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0023573,0.0,0.00030398850574774207,0.0,0.0,0.0,0.0001192230388545633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0026635,0.0,0.004163278609987762,0.0,0.0,0.012373349036216084,0.0019003828149248786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0043796,0.0,0.0003537788125153376,0.00043412421008918496,0.0003637577137549641,0.0,0.0001848061246751239,0.0,0.0,0.0,0.48133247475447843,0.6986535203847681,0.0,0.0
tpac_16S_v2_asv0027660,0.0,6.467036014643329e-07,0.0,0.0,0.0,0.0002568108478558038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0028002,0.0,0.03919764817695734,0.03826706477871253,0.030140158639525332,0.08401530280555126,0.030142972110088522,0.0,0.0,0.0,-9.969421545871635,-5.619702958104901,-0.0,0.0
tpac_16S_v2_asv0030940,0.0,0.0011548405321716534,0.0,0.0,0.0,0.0020534163085190638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0032027,0.0,0.0375832469653341,0.07149928961017984,0.09409574560991878,0.06167506770012258,0.014522516560298437,0.18352762057333735,0.13002177866474163,0.06657292634083657,-9.474275709656515,-9.753694112108153,-0.18608642707969972,-1.0119016624062542
tpac_16S_v2_asv0033110,0.0,4.925204767079483e-06,0.0,0.0,0.0,0.0020158237432337475,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0033640,0.0,0.0,0.0,0.0,0.0,3.953159768071155e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0035634,0.0,9.106353772173003e-06,0.0,0.0,0.0,5.349985911789241e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0042382,0.0,1.7797249504196692e-06,0.0,0.0,0.0,0.00016493559441148575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0043281,0.0,3.65149311682318e-17,0.0,0.0,0.0,0.0006420380082852356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0044027,0.0,0.0003086846840469958,0.0,0.0,0.0,0.0005330677307425242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0052645,0.0,0.002026714611173958,0.0010924558869653662,0.0050471676652351595,0.0,0.005253134309794565,0.0,0.0,0.0,0.04264082742125314,0.06662084016872172,0.0,0.0
tpac_16S_v2_asv0053488,0.0,1.7670297818634793e-05,0.0,0.0,0.0,1.4713982667072733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0074688,0.0,2.4091209173991756e-06,0.0,0.0,0.0,3.3271281212594357e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0054041,0.0,5.738479388932164e-07,0.0,0.0,0.0,0.00012753642852637392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0054108,0.0,0.0,0.0,0.0,0.0,8.946505869440437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0055471,0.0,2.432224760972266e-05,0.0,0.0,0.0,0.0005802145842796622,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0056717,0.0,8.665724629743273e-05,0.0,0.0,0.0,0.00020476671735474413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0056996,0.0,0.018752550869420827,0.0,0.0,0.06094456188551602,0.01577618299804648,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0061817,0.0,1.2748070028918578e-05,1.1945228709217884e-06,2.2397752189920423e-05,0.0,3.1151424502456706e-05,0.0,0.0,0.0,-1.549061810831712,-2.333717718316554,0.0,0.0
tpac_16S_v2_asv0062230,0.0,1.3347995620841421e-06,0.0,0.0,0.0,5.9355649909314594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0063767,0.0,0.005583998503916773,0.010237741731881245,0.007376602897800868,0.0,0.007966361946635869,0.0,0.0,0.04242317407893684,1.9243081767617192,2.013258914439374,0.0,0.0
