,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015035243313115898,0.0
MSE,,6.209471993292695,6.144090560853674,6.150378327195131,7.27666966506183,5.913644292560983,5.819580786341476,5.868843056585382,5.695389246219526,6.074937444452809,6.48113448352318,5.580060542855668,6.732634983586253
Intercept,,,,,,,,,,29.52042911966747,29.24079670931538,27.38135605527686,27.56488394453492
Acetothermia,0.0,0.0,0.0,0.0,0.0,0.0014400311466582912,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
Acidobacteriota,0.0,0.027388936407791976,0.0,0.0290544619467511,0.0,0.004015787390690637,0.0,0.0,0.0,-0.0,-1.43982215507725e-05,0.0,0.0
Actinobacteriota,0.0,0.009028474265384057,0.0,0.0,0.0,0.007845736863670823,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
AncK6,0.0,0.002596407151010176,0.0,0.0,0.014764470429223877,0.004230476154205215,0.027048551120580806,0.0,0.0,0.0,0.0,0.06271126203788303,0.0
Apal-E12,0.0,0.0,0.0,0.0,0.0,0.0011622047268588826,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
Bacteroidota,0.0,0.025957810634295603,0.04740531904317456,0.023200256605664767,0.0,0.01782248654901815,0.0,0.0,0.0,-0.2524144362392616,0.41323394451865436,-0.0,0.0
Bdellovibrionota,0.0,0.04134264164356682,0.0,0.0,0.0,0.06345719001871782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK-2C2-2,0.0,0.0,0.0,0.0,0.0,0.0033318195898399275,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
Caldisericota,0.0,4.495120557613772e-07,0.0,0.0,0.0,0.001742523833256644,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
Calditrichota,0.0,0.008966910055857811,0.0,0.0,0.0,0.03834078557534481,0.08591147358380137,0.31869231785771746,0.12289807885217088,0.0,0.0,0.2837159558857713,0.15461349560813403
Campilobacterota,0.0,0.02420910262336606,0.0,0.0,0.0,0.0073329589064238775,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
Chloroflexi,0.0,0.011693283573084481,0.0,0.039492405162494484,0.0,0.009897627708913934,0.0,0.0,0.0,0.0,-1.3576624272782572e-05,-0.0,0.0
Cyanobacteria,0.0,0.07840176005399645,0.0,0.1319739770780623,0.0,0.010280997397617763,0.0,0.0,0.0,-0.0,6.07191044565826e-05,0.0,0.0
Dadabacteria,0.0,0.01312014769109642,0.0,0.0,0.0,0.003976161282414298,0.033205770623425876,0.0,0.0,0.0,0.0,0.07884278844883943,0.0
Deferribacterota,0.0,4.4544839011967786e-17,0.0,0.0,0.0,0.002475439894289936,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
Deferrisomatota,0.0,0.0,0.0,0.0,0.0,0.0009437897916693313,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Deinococcota,0.0,0.006348857035156452,0.0,0.0,0.0,0.03274376890889828,0.07825681975931074,0.0,0.0868498755246131,0.0,0.0,0.13529430413880517,0.0
Dependentiae,0.0,0.015990802422686384,0.0,0.0,0.0,0.02245963032108015,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
Desulfobacterota,0.0,0.03726910104295059,0.1236169778269714,0.07500318587182775,0.19599912749996531,0.04021091144279897,0.06737996363320906,0.32821337905714276,0.15929567973704922,33.1278158887763,41.42074675823716,0.15522570377209674,0.00930298742934077
Elusimicrobiota,0.0,0.005780588254048544,0.0,0.0,0.0,0.006316468409502927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entotheonellaeota,0.0,0.0013181169645506508,0.0,0.0,0.0,0.006146615619209576,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
FCPU426,0.0,0.01605368199325838,0.0,0.0,0.041531402995759914,0.02046085152345524,0.056309858407494105,0.0,0.059683034577716024,-0.0,0.0,-0.0019522825786149303,0.0
FW113,0.0,2.473585541727073e-05,0.0,0.0,0.0,0.0024328103416776155,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
Fermentibacterota,0.0,0.0,0.0,0.0,0.0,0.00723816853226093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fibrobacterota,0.0,0.0036728861314500095,0.0,0.0,0.0,0.005093136899381879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firmicutes,0.0,0.06514088501064688,0.13733084614956978,0.13500135971763358,0.2559646899376753,0.033128908415258014,0.0,0.0,0.0,-18.695752804714125,-21.53155272144295,0.0,0.0
Fusobacteriota,0.0,0.009371002125511556,0.038361780266146804,0.03134558546056588,0.0,0.029724334836946833,0.0,0.0,0.0,1.6166767916649651,3.2560936298740417,0.0,0.0
Gemmatimonadota,0.0,0.008444522230348703,0.04446858536248961,0.02566422424832114,0.0,0.0012797061384924378,0.0,0.0,0.0,3.4150958779881,30.589876379048988,-0.0,0.0
Halanaerobiaeota,0.0,0.0021965223933706848,0.0,0.0,0.0,0.009321592141241973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogenedentes,0.0,0.03786142748578279,0.0,0.0,0.07958006169715862,0.09548961423694713,0.11409681311563989,0.0,0.0,-0.0,0.0,-0.08289508515659755,0.0
LCP-89,0.0,2.0184361115218085e-17,0.0,0.0,0.0,0.004563367366126088,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
Latescibacterota,0.0,0.0,0.0,0.0,0.0,0.0020285652587167255,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
MBNT15,0.0,0.012919758413461144,0.0,0.0,0.0,0.016233173416698436,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Margulisbacteria,0.0,0.18805611014551804,0.0,0.0,0.25512326898748117,0.08699784791307752,0.10931886696634378,0.0,0.13040342262604732,-0.0,0.0,-0.09306753721127113,0.0
Marinimicrobia (SAR406 clade),0.0,0.01870185324413444,0.0,0.0,0.0,0.0400487531063574,0.11947303817775534,0.0,0.0,0.0,0.0,-0.06062498567800001,0.0
Modulibacteria,0.0,0.001244952692228216,0.0,0.0,0.0,0.016876316195305496,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
Myxococcota,0.0,0.01273718697498975,0.03768455391634353,0.025203920653167247,0.0,0.007484253054839306,0.04563070058609221,0.0,0.0,12.069756306233574,24.709762617129595,-0.07588234618312195,0.0
NB1-j,0.0,0.01575719008446885,0.0,0.0,0.0,0.004607915225363192,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
NKB15,0.0,1.1564250239546628e-05,0.0,0.0,0.0,0.0037080642942192614,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
Nitrospinota,0.0,0.016648671924692427,0.0,0.0,0.0,0.061634535772664374,0.12226910137753966,0.3530943030851399,0.13778156072627093,0.0,0.0,-0.24088396174339868,-0.09235072164249424
Nitrospirota,0.0,0.008048778661465476,0.0,0.0,0.0,0.006551168739211764,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
PAUC34f,0.0,0.007888958036020856,0.0,0.0,0.0,0.007285495596405672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patescibacteria,0.0,0.026083283848590537,0.13282926698382982,0.12457045518763836,0.15703697845273587,0.016921202049546634,0.052530480186640645,0.0,0.08674799990686487,-27.738483306117907,-33.45619785975296,-0.049108903603933884,0.0
Planctomycetota,0.0,0.0820694812043299,0.13202046174582768,0.12128697732201145,0.0,0.05323504278383005,0.0,0.0,0.0,-7.955341427910406,-9.01319438285816,-0.0,0.0
Poribacteria,0.0,0.002979337576072764,0.0,0.0,0.0,0.006173733825974876,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
Proteobacteria,0.0,0.02745520310455539,0.08085036025785701,0.04680127506452316,0.0,0.037366003992303956,0.0,0.0,0.0,-1.8608890302676595,-1.5749954965532715,0.0,0.0
RCP2-54,0.0,9.352832611462035e-05,0.0,0.0,0.0,0.002094126454802846,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
SAR324 clade(Marine group B),0.0,0.00792693117042607,0.0,0.0,0.0,0.03931075149587193,0.08856856246216663,0.0,0.15604714524262156,-0.0,0.0,-0.18704300316079486,0.0
Schekmanbacteria,0.0,9.92858624833341e-05,0.0,0.0,0.0,0.004612253375238909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirochaetota,0.0,0.018415629970151542,0.03434899277572431,0.028672266725542257,0.0,0.007486336411564279,0.0,0.0,0.0,-9.959409998958472,-14.625109520831737,-0.0,0.0
Sumerlaeota,0.0,0.002515041019318323,0.0,0.0,0.0,0.009602260324093231,0.0,0.0,0.06029320280664606,0.0,0.0,0.0,0.0
Sva0485,0.0,0.003571940054862683,0.0,0.0,0.0,0.0026978870339623485,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
