,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.5037084410837347,0.0,0.14461144391231573,0.3446849696831159,0.5632454401380624,0.40361037517442655,0.4026192227779125,0.4603808121476062,0.20665978382003303,0.22042575792604724,0.43039333262950974,0.32832601144223783
MSE,,2.811610188953533,6.704259642861025,4.8459804254219865,3.7125161270861176,2.474318872682914,3.3786896343902377,3.3843047493902385,3.057071552926823,4.494461763542781,4.416474233104307,3.2269577850002182,3.805193531818037
Intercept,,,,,,,,,,-198.13287184755103,-277.0286157559524,27.772613044260616,27.86887223845413
tpac_16S_v2_asv0003066,0.19757904517373948,0.40844322526027965,0.0,0.5361645129595073,0.49406286249578096,0.4777677675213811,0.52973312595359,0.52973312595359,0.5544358661787772,-0.0,3.59076996190116e-05,-0.8753355661789748,-0.9424892890273882
tpac_16S_v2_asv0000308,0.04759735429660393,0.1439025830731038,0.0,0.0,0.14204361384055816,0.13011613451486648,0.17819248884093633,0.17819248884093633,0.21021551191960933,-0.0,0.0,-0.2556722834739115,-0.5816871862568985
tpac_16S_v2_asv0000663,0.033918654505982436,0.16512994178670812,0.0,0.0,0.0,0.09374220880323417,0.14570511278188433,0.14570511278188433,0.23534862190161362,-0.0,0.0,-0.6007256983759369,-1.0988863529511506
tpac_16S_v2_asv0002542,0.02565109236233912,0.08928368570672171,0.0,0.0,0.16609734096467413,0.09477255442462419,0.1463692724235894,0.1463692724235894,0.0,-0.0,0.0,-0.02000235243311772,-0.09589092847417681
remaining features,0.01433719449570791,0.06744018425370954,1.0,0.46334266715275363,0.11114495733174552,0.024226092570295277,0.0,0.0,0.0,225.92319037314817,304.9241203774757,-0.0,0.0
tpac_16S_v2_asv0230882,0.0019272433426793679,0.017952887928490716,0.0,0.0,0.07376692197143818,0.011797972456633913,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0025422,0.000556661123146154,0.011444069104324562,0.0,0.0,0.0,0.021391530004272567,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0008101,0.000514103914270295,0.016782790753604178,0.0,0.0,0.0,0.014199301617349225,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0248394,0.00043692990120537786,0.013740124474695657,0.0,0.0,0.0,0.012535814151280031,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0009936,0.0002694790714633916,0.011131439010109793,0.0,0.0,0.0,0.005355268380491632,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0035029,0.00019947416500163122,0.005373680532253684,0.0,0.0,0.0,0.006527181179429564,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0022454,0.0001819001722291538,0.004827053532637243,0.0,0.0,0.0,0.006017586046590415,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0074302,0.00016641426032050559,0.003376443299618955,0.0,0.0,0.0015928024120846923,0.002308785392988543,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0114558,0.00014731101002871463,2.423186893844598e-16,0.0,0.00013349918255081206,0.0,0.004150358767816242,0.0,0.0,0.0,-0.0,3.9592540084811424e-05,-0.0,0.0
tpac_16S_v2_asv0015753,0.00014016681306714413,0.0031096374650058383,0.0,0.0,0.0,0.005182442981872066,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0838501,0.00013640408127630157,3.6241815942571335e-05,0.0,0.0,0.008106053749997377,0.00017339427407075763,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0093912,0.00012697897734511505,0.00411365736744583,0.0,0.0,0.0,0.0035353030729318117,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
