,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.61,0.58,0.6,0.57,0.53,0.46,0.47,0.49,0.7,0.63,0.58,0.37
MSE,,1,1.1,1.1,1.1,1.2,1.4,1.4,1.3,0.78,0.97,1.1,1.6
Intercept,,,,,,,,,,36,36,34,34
ASV0017,0.14,0.1,0,0.14,0.3,0.037,0.74,0.65,0.089,0,-3e-05,0.45,0.51
ASV0101,0.042,0.021,0.67,0.042,0.031,0.00014,0,0,0,-16,-14,-0,0
ASV0021,0.03,0.014,0.15,0.045,0,0.07,0,0,0.33,19,29,0,0
ASV0019,0.028,0.12,0,0.21,0.27,0.029,0,0,0,0,-2.8e-05,0,0
ASV0259,0.022,0.0016,0.029,0.015,0.029,0.0004,0.13,0.053,0.029,-23,-31,-0.062,-0.21
ASV0023,0.013,0.1,0,0.22,0,0.038,0,0,0,0,-2.1e-05,0,0
ASV0100,0.011,0.0031,0.013,0.0042,0.014,0.00024,0.087,0.012,0.011,1.6,18,0.095,0.18
ASV0035,0.0066,0.017,0,0.053,0.053,0.023,0,0,0,0,-1.1e-05,0,0
ASV0749,0.0051,0.0038,0,0,0.029,0.029,0,0,0.098,0,0,0,0
ASV0024,0.0049,0.03,0,0.026,0,3.1e-06,0,0,0.059,0,-1.1e-05,0,0
ASV0052,0.0048,9.9e-10,0,0.002,0,0.0079,0,0,0.11,-0,2.8e-05,-0,0
ASV0006,0.0047,0.0032,0.079,0.02,0,0.0016,0,0,0,5.8,6.4,0,0
ASV0020,0.0047,0.058,0,0.066,0,0.0013,0,0,0,0,-1.6e-05,0,0
ASV0137,0.0047,0.026,0,0.021,0,0.00095,0,0,0.064,-0,5.7e-05,-0,0
ASV0162,0.0042,0.026,0,0,0.12,0.012,0,0,0,0,0,0,0
ASV0279,0.0032,0.00011,0.0087,0.00063,0,0.00047,0,0,0.058,-7,-7,-0,0
