,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.6312099605440893,0.6723723247193466,0.6028569328551925,0.4862706348557556,0.6419613814813279,0.5122115164382137,0.4794044448483983,0.46047335013183,0.5616728947269847,0.08689326771245753,0.6452227812654223,0.595001710483446
MSE,,0.967960435035044,0.8599218882431198,1.0423784129630682,1.3483815899934275,0.9397412615915093,1.2802947537578449,1.3664032271188777,1.4160915286374707,1.15047384721583,2.3966243533107745,0.9311810901766503,1.0629959558757525
Intercept,,,,,,,,,,36.69139771323306,36.20765499012501,36.21221047952509,35.95731308507868
ASV0004,0.030732898631532737,0.05215053535048444,0.4017165815613708,0.07906283535729969,0.0,0.06650941334679616,0.0,0.0,0.0,17.37044935037482,22.932739238885468,0.0,0.0
ASV0003,0.03061008258927529,0.015884903683776264,0.3237756623883792,0.08012455226335165,0.1036354907228526,0.00013163672301977412,0.0,0.0,0.0,-8.57114969218726,-8.158289996077201,-0.0,0.0
ASV0011,0.026885908987513064,0.04529640942644493,0.0,0.0,0.11847272962692015,0.0010569621361322065,0.2275542793863297,0.1738557588495085,0.0,-0.0,0.0,-0.09283632930465559,-0.006457832194799098
ASV0005,0.023522499347881837,0.001015495901433521,0.0,0.014572436658576273,0.0,0.0004915581064382888,0.21746498386080076,0.19593713850026162,0.0,0.0,2.382152205671606e-05,-0.018735667002283202,-0.10159215217727877
remaining features,0.020871730122221023,0.024649403750737972,0.08589228684924692,0.05772761631130481,0.0,0.05729691905946857,0.0,0.0,0.168820495627726,-1.1499411486036992,1.1985038662561542,-0.0,0.0
ASV0090,0.02000687104991968,0.0013580987023084465,0.0,0.0035196113856126566,0.0029136507181647606,1.4655474826021058e-05,0.15931654200871215,0.1544539334848905,0.0,-0.0,1.4941017696489056e-05,-0.030035075001507594,-0.11232737581332713
ASV0101,0.019842284795119063,0.007394247591648342,0.0,0.0,0.15350892882478714,0.0005633188739267261,0.10545879005381463,0.16261425172079494,0.0,-0.0,0.0,-0.27696772543056275,-0.25482104500668734
ASV0037,0.010450479778794524,0.005287070251187416,0.0,0.0,0.07998722075163144,0.005505745482496756,0.07226056723093033,0.05984910215060101,0.0,0.0,0.0,0.07661798381825244,0.13433058222206173
ASV0069,0.010420744077434246,0.03676102270585374,0.0,0.0,0.0,0.0007747881291029973,0.07217393792397218,0.07254114646979277,0.03411364739202714,0.0,0.0,0.03225694095500138,0.06642845867431285
ASV0026,0.007428664820355456,0.00885122575836511,0.0,0.06783537582198729,0.0,0.022608537110203795,0.0,0.0,0.07403488932730745,0.0,1.2976719002478196e-05,0.0,0.0
ASV0016,0.006925543188063482,0.005611664769587226,0.03019176112723442,0.01930422240555455,0.07163186773697566,0.005545597212163924,0.0,0.0,0.0,2.6094995537808545,4.268215194928631,0.0,0.0
ASV0021,0.00626106972952298,0.029909146779596944,0.0,0.07409307213604804,0.0,0.057060507308756094,0.0,0.0,0.0,0.0,-3.5208309159892964e-05,0.0,0.0
ASV0061,0.0058594950465569945,0.15190583599040872,0.0,0.0,0.0,0.14271787585802914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV0064,0.0058021311589709626,0.000536789414982732,0.0,0.0,0.0,0.007590095783108875,0.049879654774264946,0.0475472601549915,0.018100336005718073,-0.0,0.0,-0.07170009936202486,-0.17199745662934202
ASV0019,0.005711901965195634,0.029410956226679073,0.0,0.04276691221960365,0.0,0.07328106448829261,0.0,0.0,0.0,0.0,-3.209109009245346e-05,0.0,0.0
ASV0001,0.00512782382586827,0.0023205904626847247,0.06309314803660881,0.034809695198686826,0.0,0.0011901221450730508,0.0,0.0,0.0,2.315398848671965,3.173173888417728,0.0,0.0
ASV0144,0.004445547214056487,0.011001734758728903,0.0,0.0,0.05196144080766761,0.0009773828243769503,0.0,0.0,0.0831526645640416,-0.0,0.0,-0.0,0.0
ASV0114,0.00438615377054319,0.19336771059319838,0.0,0.0,0.0,0.02850840597469925,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
ASV0043,0.004315689168710092,0.011698771508728438,0.0,0.0,0.15479256531468094,0.014662214522109411,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
ASV0014,0.004272550875761835,0.0017563601688901926,0.0,0.0,0.1849957311110184,0.0001263757801120559,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
ASV0082,0.004242523826891154,0.0002622084590318798,0.0,0.0,0.0,0.0010030168627362863,0.05864249921750793,0.048930574387492674,0.0,-0.0,0.0,-0.047352841592424436,-0.21732458020744433
ASV3675,0.004054023221257425,0.0,0.0,0.0,0.0,0.07228333401775983,0.0,0.0,0.18095647466300657,-0.0,0.0,-0.0,0.0
ASV0002,0.003929554446814777,0.007656424362757562,0.05266619468337306,0.015867725384711654,0.0,0.0007605217435051746,0.0,0.0,0.0,-0.6170182994797293,-4.788925568578499,-0.0,0.0
ASV0116,0.003696555207430158,0.00017153846610987422,0.0,0.0,0.0,0.008273077432644129,0.0,0.0,0.15948929812759846,-0.0,0.0,-0.0,0.0
ASV0063,0.003636065316990616,0.0007178660149408621,0.0,0.0,0.0,0.0004886459226271562,0.03724874554366731,0.026107912724053342,0.013947375838901347,-0.0,0.0,0.015504768961584748,0.13187757412839438
ASV0035,0.0030600184389310914,0.014596785213230221,0.0,0.0,0.0,0.014575853341860609,0.0,0.0,0.1014382747326572,0.0,0.0,0.0,0.0
ASV0006,0.002839734851847486,0.02471743347894192,0.0,0.04848299569881011,0.0,0.0009432924680799533,0.0,0.0,0.0,0.0,5.0319868219734256e-05,0.0,0.0
ASV0046,0.002824358704539915,0.019405463625964264,0.0,0.0483033392372695,0.0,0.005951782325119421,0.0,0.0,0.0,0.0,-3.8257540172507455e-05,0.0,0.0
ASV0027,0.0026873206366383974,0.01609989281971628,0.0,0.03740969086290853,0.0,0.016016580247113027,0.0,0.0,0.0,-0.0,1.352367676377246e-05,0.0,0.0
ASV0017,0.002490444928562802,0.02457150671180787,0.0,0.03971641483884159,0.0,0.0006137799757955071,0.0,0.0,0.0,0.0,-2.6343259759275398e-05,0.0,0.0
ASV0022,0.0024708016905339034,0.002348019728706984,0.028772151397063822,0.01683196768688797,0.0,0.001014549288559092,0.0,0.0,0.0,-15.666733798158003,-21.59623387711838,0.0,0.0
ASV0010,0.0020286480883309017,0.01651696044440288,0.0,0.0357315650535569,0.0,0.0007658992624088373,0.0,0.0,0.0,-0.0,2.9072085647982737e-05,0.0,0.0
ASV0189,0.0019875266730577275,0.0011657243464383612,0.0,0.0,0.0,0.004464772678657555,0.0,0.0,0.08425795012591296,-0.0,0.0,-0.0,0.0
