,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.5780246012514503,0.532496700170604,0.5334535505970326,0.45592574111228845,0.5776523759405319,0.6875477193959163,0.6877441595088434,0.6091501598422204,0.5802619262450817,0.4990865027115037,0.536803356566801,0.4978509888227055
MSE,,1.1075556464305312,1.2270523850123685,1.224540946914974,1.4280276037316326,1.1085326233966641,0.8200911442928973,0.8195755494101075,1.0258606275556184,1.101683356394322,1.3147438782935577,1.2157487364513622,1.3179867222788706
Intercept,,,,,,,,,,33.58131920147416,33.78944420643134,35.73902827893188,35.477789339496965
ASV0013,0.08568570064840723,0.07836667899880999,0.21279910813068936,0.21279910813068936,0.0,0.08686991734446319,0.1380867641515516,0.1380867641515516,0.1594010702402206,7.653116428308101,11.2236696051372,0.18115721778933827,0.11249206002785778
ASV0011,0.06608266596906569,0.10325700364258975,0.0,0.0,0.11970479242556181,0.04212808938280708,0.24462503681154632,0.24462503681154632,0.2120274787747128,-0.0,0.0,-0.13472348859656733,-0.1406353893287416
ASV0032,0.05619172443557741,0.010104606997750969,0.18822336098685194,0.18822336098685194,0.0,0.0048817531815923895,0.11801286477023659,0.11801286477023659,0.04594278505934098,-1.531031445746389,-14.301452006307837,0.07077980888289893,-0.0033818309085973876
remaining features,0.056093121513826706,0.1056016671839351,0.25194590220364155,0.25194590220364155,0.32817005669958177,0.018734240055933386,0.0,0.0,0.037439344862110806,4.299941291437022,4.136727092386779,0.0,0.0
ASV0003,0.04489823799448766,0.10926564592118167,0.28948519220356456,0.28948519220356456,0.16908205625525605,0.052091246253297724,0.0,0.0,0.0,-4.650939485304713,-9.938605036723429,-0.0,0.0
ASV0034,0.032228661308039114,0.07352222426785543,0.0,0.0,0.0,0.04556114055689772,0.15065633924791647,0.15065633924791647,0.11123659882371546,0.0,0.0,0.005347770918654341,0.10306045983306322
ASV0077,0.02668547793233443,0.006849758996307532,0.0,0.0,0.0,0.07922193656207639,0.12439824852346999,0.12439824852346999,0.10480031380592425,0.0,0.0,0.09311675763887431,0.1704543797762388
ASV0018,0.020333857182764422,0.03373856443517804,0.0,0.0,0.0,0.014475650229567013,0.09839889732077264,0.09839889732077264,0.0881616090337863,0.0,0.0,0.011283742944383106,0.15155477644345883
ASV0063,0.009070535800321342,0.02874442370789672,0.0,0.0,0.0,0.000209831294028333,0.0404433935802544,0.0404433935802544,0.040047133095455933,0.0,0.0,0.04718392510038332,0.0699962264227875
ASV0014,0.006977608023148877,0.06748309730886667,0.0,0.0,0.15602823829603055,0.06701514413649419,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
ASV0005,0.005719430075477572,0.009016868346845284,0.054660221698575165,0.054660221698575165,0.0,0.016846907611061068,0.0,0.0,0.0,4.425544602358817,14.294918406499635,-0.0,0.0
ASV0100,0.004869501714744602,0.0011414316039366557,0.0,0.0,0.03482633251862771,0.0030931627862523727,0.015797082464042853,0.015797082464042853,0.007339388154522909,0.0,0.0,0.059734782128198466,0.15401847675219973
ASV0137,0.004697412635222843,0.02288878367496669,0.0,0.0,0.05317655861793283,0.014184121671119113,0.0,0.0,0.048412149530941584,-0.0,0.0,-0.0,0.0
ASV0357,0.004266480097278711,0.008702409884579444,0.0,0.0,0.027814344355530277,0.0012576065299392794,0.0,0.0,0.08179549620743598,-0.0,0.0,-0.0,0.0
ASV0058,0.003095557094210025,0.002218117715519173,0.0,0.0,0.0,0.003765102090688146,0.02629702435115334,0.02629702435115334,0.0,0.0,0.0,0.007350664368684322,-0.0255323933201203
ASV0135,0.0026971259089306485,0.0006463721505920949,0.0,0.0,0.0,9.042459426061241e-05,0.02479281610761946,0.02479281610761946,0.0,0.0,0.0,0.023651861433378205,0.223189591009258
ASV0271,0.0023517651955053706,0.005474629624697504,0.0,0.0,0.0,0.002608608997187456,0.018491532671436325,0.018491532671436325,0.0,-0.0,0.0,-0.04817985566789663,-0.3182904432591958
ASV0033,0.0021409650089074094,0.018104172846606998,0.0,0.0,0.0,0.1004864264599952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV0367,0.001459300812468239,0.0013703199985162981,0.0,0.0,0.016178621426018374,0.0007966323899048487,0.0,0.0,0.02416531873842576,-0.0,0.0,-0.0,0.0
ASV0015,0.0012927356580412813,0.06001251126220538,0.0,0.0,0.0,0.011562028380844296,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
ASV0193,0.0012756022643391823,0.0022109738176878647,0.0,0.0,0.028653674786383476,0.0014714845501639354,0.0,0.0,0.00856551447396418,0.0,0.0,0.0,0.0
ASV0183,0.0012369504011706272,0.003633323528584609,0.0,0.0,0.04912270811153261,0.003275010748241739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV0124,0.0009272486512873938,0.005868691844341706,0.0,0.0,0.0,0.0454939850895875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV0049,0.0008579648447818327,0.018266018880655762,0.0,0.0,0.0,0.029250579512574558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV0031,0.0008273334546992456,0.024009318077344206,0.0,0.0,0.0,0.021806703420703216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV0368,0.0007328493501924015,2.9734726096431733e-06,0.0,0.0,0.002680066093451279,0.0035829245966922424,0.0,0.0,0.013842686734189251,0.0,0.0,0.0,0.0
ASV0227,0.0007212920599436248,0.018650895979524306,0.0,0.0,0.0,0.021294241517870103,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
ASV0267,0.0005789628513565759,0.0074773776610419975,0.0,0.0,0.0,0.024590400029692722,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
ASV0189,0.0005110692752307574,0.000493502416323322,0.0,0.0,0.0,0.0006400960779502064,0.0,0.0,0.016823112465253396,-0.0,0.0,-0.0,0.0
ASV0120,0.000507185040224813,0.01733294633052816,0.0,0.0,0.0,0.010752231194176039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV0210,0.00047601253013672136,0.0010103376137242963,0.0,0.0,0.0013764146792435187,0.0154823064350323,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
ASV0036,0.00045359100782425913,0.0014383882170124287,0.0,0.0,0.0,0.023688102126323784,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
ASV0078,0.0003977033441337884,0.013277424867977245,0.0,0.0,0.0,0.008745447967901492,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
