,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.1924699590290052,0.17561442024747786,0.166369562354717,0.17698609720544067,0.5221785521052629,0.5392649219633956,0.5325005041349697,0.41062220845831643,0.0,0.0,0.3952236769445209,0.4021408684671637
MSE,,8.863251002227289,9.048253247863643,9.149722533000004,9.033198059133108,5.244450623590905,5.056914832863634,5.131159418272727,6.468865598227278,12.850103860546705,17.774577760387526,6.637876090652265,6.561954698771979
Intercept,,,,,,,,,,22.400845556220037,23.218316857438445,22.938359960892985,22.585385098692377
tpac_16S_v2_asv0000013,0.1493294604157636,0.25638900508447116,0.3093666547302,0.2742818689360716,0.41315052246767797,0.289158659623092,0.385340390422695,0.41131495668548534,0.37859530205356096,5.651818651858922,4.709200649551667,0.45008221197668985,0.47604538924445855
tpac_16S_v2_asv0000017,0.051121524774281106,0.14713760297469028,0.18061476937064092,0.16034939049720356,0.0,0.09781875347675532,0.16175237940867693,0.14514018663050643,0.14909567812118055,7.01645925779259,7.317133536647117,0.21247608910406734,0.23304012436588226
tpac_16S_v2_asv0000016,0.0334260060279066,0.11511355975321823,0.1573669384191081,0.13535091890915815,0.0,0.07879232217117935,0.14933055265536158,0.13788828215388402,0.0,3.815755715332753,3.0053008337550304,0.05388261779797704,0.10763565620076389
tpac_16S_v2_asv0000004,0.027901290333818003,0.0841362635006926,0.10675890340657779,0.08562772662142153,0.0,0.07316411451440802,0.12552747839887132,0.1279342862495781,0.0,3.7210769182571926,2.9824493822685363,0.1592580115441877,0.17193514847451255
tpac_16S_v2_asv0000059,0.022412596025621956,0.08918537464520473,0.0,0.11752581869637364,0.2348836923955341,0.038426887026039934,0.07612703339507439,0.07491647520104729,0.0,0.0,-0.0004549382696567565,-0.06630122403196025,-0.14706838708280454
tpac_16S_v2_asv0000345,0.01416169749780301,0.024021806198307908,0.030456805932433863,0.026467116319055996,0.0433703582928642,0.014083544926801988,0.06967935399915197,0.0633318546989026,0.0,20.127473725878424,17.85531696187453,0.11721413152300206,0.25257798587922675
tpac_16S_v2_asv0000935,0.006838521805908496,0.025636596496161502,0.02400519871812937,0.021984285132461596,0.0,0.006690057873725131,0.03224281172016895,0.03947395838059626,0.0,18.06030165879721,19.248509359201734,0.13898770002478505,0.3276533589532229
tpac_16S_v2_asv0001291,0.003400516451784553,0.0038182858909988618,0.0034749494857374795,0.004796387278605937,0.020045576123013404,0.009138016445795193,0.0,0.0,0.05023557373155442,-6.795116515477177,-9.030972439360255,-0.0,0.0
tpac_16S_v2_asv0005128,0.003165920348968377,0.005178025186007002,0.007355626137560114,0.004738896429099978,0.016606448625669495,0.017910292193801313,0.0,0.0,0.0330651868805554,-11.919779851411416,-13.42373191255168,-0.0,0.0
tpac_16S_v2_asv0008498,0.0029975893379716647,0.0024153472225265046,0.010869426038701334,0.007472561564542322,0.010091589008634858,0.007189667159731682,0.0,0.0,0.04444292890875306,-2.2468163479468783,-5.367414455269058,-0.0,0.0
