,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.44232160803669585,0.2367587138248699,0.41260228415330324,0.3439032010216828,0.3912038475846399,0.40379348520668423,0.40333283434039435,0.2932362606098814,0.1490878436582287,0.1451374343773303,0.3324815977751189,0.35592202504068704
MSE,,6.120940789454539,8.377148528739312,6.447132774681822,7.201157004772726,6.681996748454551,6.543815984136371,6.548871974681827,7.757264873954548,9.339402424503088,9.382761144602256,7.326517711230687,7.069241350088297
Intercept,,,,,,,,,,79.70290817394044,75.12702709920879,23.307221517825344,23.00864157419465
tpac_16S_v2_asv0000013,0.13137840650983015,0.2607090667736922,0.0,0.3071276689541351,0.3368194823255717,0.32840078026106595,0.40456013302122423,0.40456013302122423,0.4139035756710225,-0.0,0.00040025549321691953,0.528901611121828,0.5694590080487941
remaining features,0.07053673495618665,0.2904961894041708,0.74222411458901,0.3380229730637732,0.3877872476987529,0.06644947302682609,0.0,0.0,0.1427548778441923,-54.05876454340624,-49.575413793888174,-0.0,0.0
tpac_16S_v2_asv0000016,0.06713130012598834,0.13229248145388842,0.25777588541099006,0.19192017610352738,0.16568229633813938,0.12443810073174885,0.2143228153213813,0.2143228153213813,0.0,6.524523947160413,54.295808782830456,0.08366410536947975,0.10422090090125227
tpac_16S_v2_asv0000059,0.020249537212585857,0.08025627520087707,0.0,0.11461986597919277,0.0,0.03899626748232349,0.1079033488806822,0.1079033488806822,0.0,0.0,-4.692841304236616e-05,-0.06221236583201193,-0.1265793093340421
tpac_16S_v2_asv0000345,0.01307809224408189,0.006224849097721063,0.0,0.0086422217533604,0.020203768547748416,0.036979882833488145,0.09526481452563133,0.09526481452563133,0.0,0.0,3.379771933312364e-05,0.2616538373602616,0.4598528677367667
tpac_16S_v2_asv0001967,0.009363893837386155,0.008690501523557628,0.0,0.009778634396948323,0.0,0.02219820584995697,0.08555047078658554,0.08555047078658554,0.0,-0.0,1.1479040236812712e-05,-0.02662700924286946,-0.4592746497300264
tpac_16S_v2_asv0000935,0.004801249173890379,0.010694300050092705,0.0,0.0,0.013617090412867223,0.01703823852245343,0.0435305084569588,0.0435305084569588,0.0,0.0,0.0,0.11494669081877461,0.2785846887561025
tpac_16S_v2_asv0000830,0.004339705212546591,0.020853850572586038,0.0,0.0,0.0,0.017590681949695736,0.04886790900753653,0.04886790900753653,0.0,0.0,0.0,0.10023430920292886,0.3689169862888036
tpac_16S_v2_asv0005128,0.002109787920716817,0.017060748410112854,0.0,0.0,0.016272162893141557,0.01898502279259895,0.0,0.0,0.04497126707156506,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0002740,0.0014860874018497712,0.006300867721398525,0.0,0.0,0.0,0.02459919251926516,0.0,0.0,0.06579298604625228,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0000348,0.0014025582382554051,0.016589241410729094,0.0,0.022799617379949115,0.0,0.01456012690458808,0.0,0.0,0.0,-0.0,4.185541788142652e-05,0.0,0.0
tpac_16S_v2_asv0148135,0.0012533671192153937,0.009956658986360877,0.0,0.0,0.009561351572369325,0.010940828045705167,0.0,0.0,0.027559876251472354,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001452,0.0011727935788474052,0.0001655112535922603,0.0,0.0,0.0009631499116807533,0.010086123734802397,0.0,0.0,0.04915670141810365,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0100770,0.001121176669307715,0.001438797913030879,0.0,0.0,0.004280924927380117,0.012123814720822022,0.0,0.0,0.037810155290084725,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001291,0.0009784067247476066,0.001518191068804098,0.0,0.0,0.006017404537367194,0.004432500995963685,0.0,0.0,0.03812476237271279,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0065620,0.0006449437850440018,0.0013122746847115546,0.0,0.0,0.003241373341387061,0.00700644517631259,0.0,0.0,0.020062273748366843,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv1150842,0.0006402717311311435,5.611229738638907e-05,0.0,0.0,0.0015163494910462921,0.0007923508028412485,0.0,0.0,0.032015412658773564,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0006439,0.0006092210567424268,0.002271724917605834,0.0,0.0,0.0038791784689132386,0.001329434523395717,0.0,0.0,0.023491508456428417,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv1081736,0.000599242148400902,0.0012062486921358222,0.0,0.0,0.003521922926731969,0.0027532079934220405,0.0,0.0,0.02307374391783008,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0022354,0.0005832596726112118,0.0013504449895675962,0.0,0.0,0.002317869275517694,0.004020305294861521,0.0,0.0,0.021705849699405127,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0000953,0.0005812041265348265,0.0057196111459241515,0.0,0.007088842369113729,0.0,0.00982732121727567,0.0,0.0,0.0,0.0,-1.610026038870675e-05,-0.0,0.0
tpac_16S_v2_asv0004580,0.000394874054879786,0.0015402030896986927,0.0,0.0,0.0,0.0037188864764349824,0.0,0.0,0.021443023515261284,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0168816,0.00035231999258710406,0.0005963522422803898,0.0,0.0,0.001825481477663488,0.00031084429826339186,0.0,0.0,0.0157686773796673,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0056639,0.0003153455776804499,0.0008491698804941345,0.0,0.0,0.0023447054915963165,0.0012182677723924858,0.0,0.0,0.011550346075362447,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001564,0.0003134230904097426,0.014452490045021561,0.0,0.0,0.0,0.009296662797971634,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0010442,0.0003036120728511811,0.008726211660552652,0.0,0.0,0.0,0.014968652260524191,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001925,0.0002918920868150241,0.01206727074163655,0.0,0.0,0.0,0.010232343581845412,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0015155,0.0002647517971129013,0.0005288112036712959,0.0,0.0,0.0016583011076314038,0.0006658673928327248,0.0,0.0,0.010814962583499435,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0037535,0.0002642549158772243,0.005397720318592345,0.0,0.0,0.0,0.015512702685538058,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0000578,0.00022849407787448533,0.006878428947750511,0.0,0.0,0.0,0.010913319910854572,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001286,0.00021421234237119547,0.0026247986328431557,0.0,0.0,0.0028226643445414755,0.006232389746223134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0942715,0.00020817541408012233,0.010652964774177487,0.0,0.0,0.0,0.004983531612300022,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0536089,0.000203339373739024,0.0041778170655712935,0.0,0.0,0.0029727590697880683,0.0037515646288609475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0083104,0.00017544801708445148,0.003989806453026729,0.0,0.0,0.0,0.009840289057513928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0003084,0.00016823946629306754,0.003478382222544071,0.0,0.0,0.0,0.009828889278764815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0016467,0.00013326739075493862,0.0008163746575993788,0.0,0.0,0.002449137171552873,0.004191347848990539,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0877366,0.00012132416247422615,0.004506076192259847,0.0,0.0,0.0,0.004829293841416626,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0008498,0.00010168875196362184,0.0003058624830202695,0.0,0.0,0.0,0.00797218763763184,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0982063,8.679341492480707e-05,0.001306039558902859,0.0,0.0,8.49045447219155e-05,0.0031817283926260757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0038042,8.475053580043473e-05,0.0022351215665417446,0.0,0.0,0.0,0.004405310915994515,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0004065,8.47395268979213e-05,0.0034534334861240964,0.0,0.0,0.0,0.0030269042986523853,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0089782,8.375190446703117e-05,0.0005342950139544864,0.0,0.0,0.0015737085022404435,0.002579661934292348,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0004734,7.794050074242275e-05,0.004638700742976338,0.0,0.0,0.0,0.0011306086447105401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0823808,7.689101646584825e-05,0.0016679651313961869,0.0,0.0,0.0,0.004403677311650462,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0004804,7.214399549057091e-05,0.0004389500063584427,0.0,0.0,0.0025364810408186516,0.0012080936442427624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0004307,6.806710389674052e-05,0.0012183079970553919,0.0,0.0,0.0012940984466989082,0.0011967409542516228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0926337,6.711473210794673e-05,0.00017512432940056273,0.0,0.0,0.0008663526597637043,0.002700326774047001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0028263,6.517954191926736e-05,0.00164716562194701,0.0,0.0,0.0,0.0034692102421629593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0003689,6.122864680737871e-05,0.0025795690418780643,0.0,0.0,0.0,0.0020917932587917235,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0982046,5.7738751847861816e-05,0.0003282448764708903,0.0,0.0,0.0012307198379723765,0.0016955910584379912,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv1113028,5.602314188664659e-05,1.3514092856650633e-05,0.0,0.0,9.68269004752951e-07,0.003038952202272368,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0009603,5.4371986662213884e-05,0.0030249741231477287,0.0,0.0,0.0,0.0010273215799182407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0128491,5.132296987599993e-05,0.0018079113524335079,0.0,0.0,0.0,0.0021540094368665327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0741656,4.576204420670813e-05,0.0008925842309115331,0.0,0.0,0.0,0.0027340634017109524,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0877365,4.509716168180848e-05,0.000415339499783355,0.0,0.0,0.0013670968423662173,0.0007878505511295016,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0001400,4.4568726686993373e-05,0.0012808880058467517,0.0,0.0,0.0,0.0021974088875410347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0008977,4.2591385176293434e-05,0.0007557304087524568,0.0,0.0,0.0,0.0026294435557084285,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0733126,3.69636648138133e-05,0.0008085139221668485,0.0,0.0,0.0,0.002109422238467601,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0908199,3.40526427815293e-05,0.000927554499865377,0.0,0.0,0.0,0.0017367088163411178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0004567,3.144703297390082e-05,0.00023541631845268066,0.0,0.0,0.0,0.002306151476267281,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0100041,3.107952804606143e-05,0.0011853419158953874,0.0,0.0,0.0,0.0012020396989067944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0168704,2.8366061442070425e-05,0.0006758176859031408,0.0,0.0,0.0,0.001556184082382325,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0086946,2.8231541327348847e-05,0.0006876710094897285,0.0,0.0,0.0,0.0015317783285037831,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0030496,2.736749082762979e-05,0.0005022002793143925,0.0,0.0,0.0,0.0016708058354152984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0567770,2.4304804184829405e-05,0.00010265680996618662,0.0,0.0,0.0,0.0018720327347903477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0575539,2.4091215846686126e-05,0.0003561097920704311,0.0,0.0,0.0,0.0015679903329555956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0335086,2.391140041695529e-05,0.0011011120124853207,0.0,0.0,0.0,0.0007109316001585765,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0057485,2.335372414417349e-05,0.0006827339890425881,0.0,0.0,0.0,0.00113836093246137,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0877364,2.22808768698879e-05,0.0002988892214659273,0.0,0.0,0.0,0.0014846042603073092,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0024442,2.1814796496295668e-05,0.0007266480367689514,0.0,0.0,0.0,0.0009628263170382475,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv1150824,1.9774839009730615e-05,0.00025185562483604883,0.0,0.0,0.000271777911184239,0.000554689722387823,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0002602,1.950809740240304e-05,7.270689687907114e-06,0.0,0.0,0.0,0.0015875179591331578,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0007654,1.8745107042635705e-05,0.00036641656913476145,0.0,0.0,0.0,0.0011190315790507428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0118257,1.8469553795399003e-05,3.059048657200109e-05,0.0,0.0,0.0,0.0014761994080762977,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0684437,1.8339262308235264e-05,0.000163763433008375,0.0,0.0,0.0,0.001314967355290021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0012039,1.78841285918458e-05,0.000303410057388541,0.0,0.0,0.0,0.0011198440229187073,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0290119,1.7694150157446366e-05,4.084672366315314e-06,0.0,0.0,0.0,0.0014427416030636012,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0009671,1.7090875411898947e-05,0.00021428773808599002,0.0,0.0,0.0,0.0011557246153879007,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv1260671,1.597836025021422e-05,0.00013239442953323491,0.0,0.0,0.0,0.001157316355235127,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0027462,1.561886772226261e-05,2.320597978963968e-05,0.0,0.0,0.0,0.0012513661709573742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0418036,1.5290077133045594e-05,0.00020482514227015803,0.0,0.0,0.00040207560517770634,0.00024875685350195785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0017067,1.496279000143434e-05,0.0004245904364770919,0.0,0.0,0.0,0.0007438673142482018,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0035774,1.4679257664477173e-05,8.309371346877883e-07,0.0,0.0,0.00034896115180419075,0.0004927893716924729,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0165644,1.4590816480613728e-05,0.00035153166206850633,0.0,0.0,0.0,0.0007960455380498475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0924914,1.4243713399436062e-05,1.956308580602945e-05,0.0,0.0,1.2127040677413367e-05,0.0007439655411668756,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0005440,1.3642398141884725e-05,0.0002001350786836326,0.0,0.0,0.0,0.0008896453162749548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0004646,1.3046191628151281e-05,0.0005750042925324663,0.0,0.0,0.0,0.00041702378390995,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0010186,1.2832912835809229e-05,0.0004662908218695905,0.0,0.0,0.0,0.000522496662202591,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0634243,1.2738750986778886e-05,3.2220312480742866e-06,0.0,0.0,0.0,0.001038371324929886,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
