,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.6198459373659281,0.5552403605473747,0.5887900908960909,0.5543872716440563,0.6383430138883117,0.6546326095955219,0.6554558450805235,0.6074235574116065,0.055442615340250856,0.0,0.5085548765741381,0.5331670596721085
MSE,,4.172477438227263,4.88157235040909,4.513338766454541,4.8909356442727265,3.9694580783181737,3.790667484590908,3.7816318544999996,4.308822423545455,10.367229405088363,11.202582575970606,5.393980733529685,5.123843468731726
Intercept,,,,,,,,,,46.834927112954155,36.49034481641871,23.820546733595933,24.167635607996427
tpac_16S_v2_asv0000013,0.1321051823002885,0.10286625919464455,0.16847367039921185,0.13423417123948989,0.15273801137845675,0.18872340029974274,0.204578570059534,0.204578570059534,0.2238479304533457,27.874967606167523,37.29879071340007,0.3575864150046603,0.33143046323897707
tpac_16S_v2_asv0000030,0.11544685620061987,0.08273473093407024,0.09185420797452723,0.08842286144395858,0.09030037763692106,0.19777110346260135,0.21091766273995688,0.21091766273995688,0.21712270782384654,-0.7818507293902395,-38.77372873037055,-0.14001405466805775,-0.27609382069460825
remaining features,0.09237212911897848,0.31838408546768143,0.3598879833711231,0.3409460395079914,0.3412048190936859,0.03359347178355203,0.0,0.0,0.05930350936685329,-21.291841332320367,-11.042762062322947,-0.0,0.0
tpac_16S_v2_asv0000262,0.056195840053946455,0.06936370123823478,0.10050089577385223,0.07528439128171488,0.09207794045618954,0.049169808348708426,0.0636673091518034,0.0636673091518034,0.08344401796932222,28.755319873455797,56.356529086338526,0.13871453570761424,0.14574039669407018
tpac_16S_v2_asv0000017,0.03993294582753269,0.06751566723488252,0.08844768454741785,0.07767177693988053,0.08612988005024397,0.04486271207730523,0.054110161468529344,0.054110161468529344,0.0,-4.712912547233626,0.38364196235785375,0.06611475397706422,0.04833703372699257
tpac_16S_v2_asv0000016,0.038600932348951324,0.04342735106793037,0.0880891270413443,0.065904998442121,0.06817080050232362,0.04815379643512738,0.0697134144988851,0.0697134144988851,0.0,30.159292827876264,76.12293206340843,0.011636513220098572,0.031019076704724504
tpac_16S_v2_asv0000022,0.037180310469357936,0.024687194842597633,0.0,0.037380122306560154,0.029064565280919632,0.06526855279767899,0.08425178514363418,0.08425178514363418,0.09701298933886875,-0.0,3.776111930283783e-05,-0.2567302433130023,-0.39833030847090817
tpac_16S_v2_asv0000660,0.03384837043288711,0.037268184749598955,0.04653796141169967,0.04634560567912433,0.0,0.043442765347582596,0.06869854459995245,0.06869854459995245,0.07694605493496437,-26.414879507890507,-18.176221564101148,-0.1858950556977481,-0.4388843158899422
tpac_16S_v2_asv0000004,0.026332690054969604,0.028325443484689888,0.056208469480823774,0.04537060945776168,0.044771884495716834,0.03306766110546132,0.05025983097630771,0.05025983097630771,0.0,11.999088385157705,30.51760710327849,0.12046361491193605,0.13503102763221317
tpac_16S_v2_asv0000404,0.02609480069005897,0.03951552567576292,0.0,0.0,0.0,0.0910293582400026,0.10007509723548541,0.10007509723548541,0.10640979835612244,-0.0,0.0,-0.22576436337251518,-0.36872493401793305
tpac_16S_v2_asv0000522,0.022959373268302802,0.0415514068582862,0.0,0.055094314083011166,0.0,0.03594229512336196,0.05186092121073984,0.05186092121073984,0.056953046473754834,0.0,5.648560707888498e-05,0.18123817017076133,0.1779938007218056
tpac_16S_v2_asv0000059,0.008078755559065993,0.015135861118210395,0.0,0.033345109618386576,0.0,0.01509761355497533,0.026876261337864013,0.026876261337864013,0.0,0.0,2.24978022326175e-05,-0.039149405495189867,-0.10962689673615339
tpac_16S_v2_asv0000935,0.0030244617591055466,0.008289439963725387,0.0,0.0,0.008617839518934786,0.004239608968421065,0.014990441577307877,0.014990441577307877,0.0,0.0,0.0,0.12264213003090715,0.2743027938500994
tpac_16S_v2_asv0005128,0.0022717200560476527,0.015916441981325788,0.0,0.0,0.01757952554787652,0.008960028853701223,0.0,0.0,0.01813617834642205,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0100770,0.0011882937421097768,0.005573965851688738,0.0,0.0,0.010774421197882647,0.0034351599810910484,0.0,0.0,0.01216891796247165,-0.0,0.0,-0.0,0.0
