,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.20118126756632826,0.20996326624265949,0.2085223103409074,0.2533227572939988,0.16972758483050832,0.1535925434248061,0.14600353406460564,0.08236323899717801,0.15246208693190277,0.0,0.16159592404092893,0.16965414665915646
MSE,,6.087275547848843,6.02035367479661,6.031334258088068,5.689939328052551,6.326963509627394,6.449918116254142,6.507748997322746,6.992710098374546,6.458532586455902,9.838180784657878,6.388929582627463,6.327523133940893
Intercept,,,,,,,,,,26.609924620702866,26.330147613871148,26.725681497692037,26.679513210966704
tpac_16S_v2_asv0003066,0.02433704903865658,0.11489475851757701,0.10597039691833426,0.11759506902143528,0.0,0.14075256793354812,0.21378530864209153,0.20768443785510296,0.19583513373409528,-5.534853088896209,-9.35892764557544,-0.25981589711817277,-0.26393231714381765
tpac_16S_v2_asv0016771,0.01637448440889363,0.04088093019832135,0.06278946525079342,0.06699701630009297,0.05496395162517607,0.0424007407708481,0.12274751478211757,0.13361890907954113,0.12063923305259637,-3.746486869394756,-2.00349342502714,-0.304928309419317,-0.6097578910497587
tpac_16S_v2_asv0027597,0.01392022113731501,0.022985318646665927,0.0438611751749397,0.030546430199264663,0.07518688091030298,0.02938117454374635,0.12251401531402507,0.12640992955635105,0.0920249443669256,-15.581256976927206,-8.20500500968939,-0.19746174966244273,-0.5397812538916762
tpac_16S_v2_asv0000958,0.012780529705137881,0.07285313372331202,0.06729710554725746,0.06657092205908827,0.0,0.05198414852950733,0.17724948752640646,0.1611520286494157,0.0,0.6687898788597538,0.4401436778946468,0.024681904892290125,0.0627259002053598
tpac_16S_v2_asv0012121,0.012544204235046614,0.03499047004077063,0.03995680157589061,0.03115614757349972,0.06346611917975983,0.03918567582115846,0.08674114431867716,0.10207545671159425,0.08987983982875963,7.6796247191548,11.76558579481378,0.29695057552299525,0.4642596458920627
tpac_16S_v2_asv0009116,0.010407132528029387,0.029241704034328433,0.03158268492455634,0.0351687618907407,0.06165012218632421,0.03898347141587052,0.10318916912098147,0.11010474012853036,0.0,2.8862591534528406,3.044075430115125,0.18338684957365362,0.3880316682574735
tpac_16S_v2_asv0011743,0.009039550680468696,0.0707179831754253,0.0,0.0,0.09307058757875679,0.05028894919648479,0.1042663166349358,0.08560727384010908,0.09463413605489661,-0.0,0.0,-0.22965475339261124,-0.2584601715081882
tpac_16S_v2_asv0006814,0.008680258190552749,0.08189681775062325,0.08845459813006258,0.08126989257886144,0.11303961596943769,0.07046000098539507,0.0,0.0,0.0,-10.951620902338197,-8.567476165211234,-0.0,0.0
tpac_16S_v2_asv0014025,0.00498380553520418,0.013546814834999423,0.034010797810407126,0.025599248757326474,0.0,0.01933291308803371,0.06950704366076502,0.07334722417935546,0.0,-1.5163975570510209,-0.031870214540747434,-0.03023338008090936,-0.2534498704405653
tpac_16S_v2_asv0053023,0.0049358273551198,0.05732576023988503,0.05078611959963738,0.05873601272432507,0.05573827458026395,0.02406912222425141,0.0,0.0,0.0,-4.643008578491388,-4.4495760872529555,-0.0,0.0
tpac_16S_v2_asv0015112,0.0036989718866715774,0.034352505778537434,0.047696081098800226,0.04462639015505615,0.04114669223119519,0.01650411151121093,0.0,0.0,0.0,-10.234584283075797,-10.332295077129919,-0.0,0.0
tpac_16S_v2_asv0025364,0.0033795705276648443,0.020321917800342797,0.03586934949328791,0.047635416648321216,0.04228225944383697,0.0223005097157121,0.0,0.0,0.0,-16.443836795312105,-13.98085910376973,-0.0,0.0
tpac_16S_v2_asv0034649,0.003021746793056039,0.0040533396357412006,0.05358920152547857,0.05774689748676631,0.0032461038592856545,0.0029954612012962592,0.0,0.0,0.026564504138134964,-30.921451254602026,-33.73467310993699,-0.0,0.0
tpac_16S_v2_asv0016073,0.0027470772190674037,0.026435644615463817,0.02946739397510915,0.025250505610857624,0.03401816575026712,0.023059663016797603,0.0,0.0,0.0,-3.33973921399098,-3.432763592529521,0.0,0.0
tpac_16S_v2_asv0014671,0.002473510003244103,0.024698085110852256,0.02628396575807222,0.028046027328751305,0.02973202098098305,0.014827450617677028,0.0,0.0,0.0,-3.4005287656003143,-3.3232780223376466,-0.0,0.0
tpac_16S_v2_asv0086288,0.0018954177817013286,0.005722644234440631,0.026581675761591834,0.02096306791047158,0.02926874959031059,0.010013797614955078,0.0,0.0,0.0,-7.3029356000211605,-7.265280802399057,-0.0,0.0
tpac_16S_v2_asv0033538,0.0018155177104961931,0.010029224939366074,0.024927616164633695,0.013848016398448092,0.027768015214021655,0.012915141638653411,0.0,0.0,0.0,-5.216221883281867,-5.194811989602739,-0.0,0.0
tpac_16S_v2_asv0006735,0.0017206090144124063,0.030014742294918954,0.025980257485250742,0.022129819406784823,0.0,0.034855446156614206,0.0,0.0,0.0,-0.3897289222144436,-0.3481916542441677,-0.0,0.0
tpac_16S_v2_asv0005185,0.0015718609861986354,0.010213304327800913,0.013740015693576278,0.01118609841080025,0.034632753465781915,0.004248439744939133,0.0,0.0,0.0,3.037336443271187,3.52429303983489,0.0,0.0
tpac_16S_v2_asv0025532,0.0013091159991656,0.012031643812901819,0.011633205059501698,0.008915634606633712,0.0,0.007822220841547564,0.0,0.0,0.07180462547345007,-1.4143014640954803,1.3575044739905466,-0.0,0.0
tpac_16S_v2_asv0022605,0.0012894968272589447,0.008301508608837169,0.006344154269151399,0.007522627997826169,0.01528364886964271,0.004401287274246495,0.0,0.0,0.03156974192129516,-0.1339235514922358,-10.50200988315688,0.0,0.0
tpac_16S_v2_asv0059730,0.00122920204713059,0.011322666597308573,0.009769848091469935,0.00949167775459995,0.011811671350352212,0.0016743738651979058,0.0,0.0,0.020077184204185985,3.3677417366385427,3.799851978475277,0.0,0.0
tpac_16S_v2_asv0027386,0.00117347645217311,0.014693852206616802,0.013926399555678695,0.012919670998627984,0.01421882348318069,0.0020086940556494496,0.0,0.0,0.0,4.14676959871698,4.605142357708036,0.0,0.0
tpac_16S_v2_asv0025958,0.0011361893873098646,0.00306102434911536,0.006214108372273685,0.003933462822922743,0.014365318565548933,0.0010330483542575688,0.0,0.0,0.04653591076247285,9.809307988336402,10.092203286247003,0.0,0.0
tpac_16S_v2_asv0588370,0.0010947509617257303,0.0077816997908584686,0.01769583057281612,0.006599381180049664,0.015911194985721046,0.005830230736677319,0.0,0.0,0.0,-6.192292586802546,-6.364240895132806,-0.0,0.0
tpac_16S_v2_asv0193219,0.0010499721008523045,0.004138089572896928,0.007063130808380729,0.0067205286784983295,0.011341263639688563,0.0038938403231450814,0.0,0.0,0.02851962081328023,13.746955846731778,19.530561372974603,0.0,0.0
tpac_16S_v2_asv0003583,0.0010013572491428882,0.003729611033759415,0.0068444899627207465,0.0038868784144385337,0.018595335410238015,0.0001835655080800635,0.0,0.0,0.017186894483612273,2.889888040718633,3.6549318608104793,0.0,0.0
tpac_16S_v2_asv0045691,0.0007649166737999038,0.0020056083304377447,0.00573944194058285,0.0031625986250862935,0.013133925315208867,0.0004794594165665727,0.0,0.0,0.015990010259904215,17.34835871722255,24.890880757963092,0.0,0.0
tpac_16S_v2_asv0138572,0.0007581608023350662,0.002310083933190559,0.006621588505390596,0.003464595451068508,0.020369266132635216,0.002059585575270045,0.0,0.0,0.0,-3.064070824128378,-1.899049806615204,-0.0,0.0
tpac_16S_v2_asv0373125,0.0006337874374498946,0.0003212639041775929,0.0024701182301783866,0.0007591023060579269,0.008793813044808065,0.005012342042182904,0.0,0.0,0.023975091424984604,3.5154070499894488,4.116355015910463,0.0,0.0
tpac_16S_v2_asv0050661,0.0006241158330498422,0.005518706155294732,0.004911098982290543,0.005686329657546675,0.0,0.0014564212281475302,0.0,0.0,0.03743057524395376,1.4790901048278746,1.879886537546328,0.0,0.0
tpac_16S_v2_asv0077684,0.0006192290754068341,0.00932288737003654,0.008513212753909795,0.008965460170910962,0.0,0.014102489262298531,0.0,0.0,0.0,4.380796868089617,9.428674857154089,0.0,0.0
tpac_16S_v2_asv0043347,0.0005816008169317705,0.011022927384672447,0.007747738601583693,0.01178016869675592,0.0,0.006738536100026205,0.0,0.0,0.0,1.497258755888267,2.043903310891513,0.0,0.0
tpac_16S_v2_asv0044919,0.0005358902142526597,0.017310439230933804,0.0,0.0,0.020048242032115804,0.016916004057374368,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0146713,0.0004472942726882715,0.006112782533831383,0.004546085856906691,0.005931676109561645,0.00445146471458598,0.001309783634711307,0.0,0.0,0.0,2.1677451293048824,2.5997738286049454,0.0,0.0
tpac_16S_v2_asv0031908,0.00042149530996610294,0.003010223904674911,0.006851002400200665,0.003189100090480669,0.006698021529507156,0.0005310313596557241,0.0,0.0,0.0,3.3286006798827383,3.9764990918902394,0.0,0.0
tpac_16S_v2_asv0064068,0.0004082859894193647,0.0022615637556451258,0.0,0.002546042953489342,0.006866553596172583,0.0011646786631322567,0.0,0.0,0.017386726926044753,0.0,-2.673671069569423e-05,-0.0,0.0
