,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.19022109755967853,0.0,0.08659040527209694,0.0,0.07361967455344065,0.0,0.0,0.0,0.07290014525251598,0.07449038090032267,0.15800795609085694,0.17339195418167852
MSE,,6.170795841218134,8.470068794261934,6.960497626561811,8.127291968994166,7.059339089256182,8.180491917107421,8.245203118429734,8.607315181570232,7.064822151860555,7.0527040051757375,6.416271141709832,6.299039745394039
Intercept,,,,,,,,,,-22.39236686042815,-53.1647340981109,26.652800007991345,26.581182365774087
remaining features,0.008332931339009642,0.1831912169056132,0.7554437457507401,0.5658806621814516,0.415517331838485,0.06843185280268753,0.0,0.0,0.0,49.35630869033586,80.1891340718559,-0.0,0.0
tpac_16S_v2_asv0003066,0.004387183503697685,0.0826776970390317,0.0,0.13087292824546962,0.0,0.10918393633150536,0.1934431380443622,0.1934431380443622,0.15664134308050673,0.0,-5.226773792053027e-05,-0.2607975054516792,-0.2817151716188886
tpac_16S_v2_asv0000958,0.0035047441936996936,0.04120853318868682,0.24455625424925986,0.18189753201964642,0.0,0.06042732664916109,0.1543942822232526,0.1543942822232526,0.0,4.560235141749785,90.41880021445027,0.017423402127622944,0.04874386573513022
tpac_16S_v2_asv0006814,0.0016675012561194248,0.07085241433544925,0.0,0.12006531365978351,0.0,0.038113343020956245,0.0,0.0,0.0,-0.0,2.5667575747794292e-05,-0.0,0.0
tpac_16S_v2_asv0016771,0.0013348998683444348,0.05628928463044607,0.0,0.0,0.10165312953773899,0.047969818491810534,0.12009259849936976,0.12009259849936976,0.0,-0.0,0.0,-0.29526732374628883,-0.6412040235025452
tpac_16S_v2_asv0012121,0.0010928585418262774,0.034352873962873856,0.0,0.0,0.07290677095496552,0.046960383303678715,0.11544172030879857,0.11544172030879857,0.10501409983368039,0.0,0.0,0.3186067244385614,0.4505103532641859
tpac_16S_v2_asv0027597,0.0009673114436657255,0.04023729302535536,0.0,0.0,0.10328179622137204,0.01616427004318402,0.10517521932304524,0.10517521932304524,0.06707075435073954,-0.0,0.0,-0.18858420370868553,-0.6067828098069987
tpac_16S_v2_asv0009116,0.0009548732872370529,0.02914495391810563,0.0,0.0,0.0,0.06304469517675525,0.15202067209760708,0.15202067209760708,0.14974428845331272,0.0,0.0,0.19183589846343047,0.3768400774830137
tpac_16S_v2_asv0014025,0.0009291364191195254,0.05761573047509181,0.0,0.0,0.0,0.012676213019359646,0.066593349111921,0.066593349111921,0.0,-0.0,0.0,-0.029373930936250237,-0.26184831699877537
tpac_16S_v2_asv0011743,0.0007689425809343086,0.02918517403700872,0.0,0.0,0.0,0.0360014951834465,0.09283902039164352,0.09283902039164352,0.0837286392784411,-0.0,0.0,-0.24930769230859037,-0.34502188528831307
tpac_16S_v2_asv0053023,0.0006030536216338861,0.0492640721426772,0.0,0.0,0.0,0.04746119941638661,0.0,0.0,0.07742959605320997,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0015112,0.0005321858180673075,0.04808481186015421,0.0,0.0,0.05066928295635571,0.02997231076472146,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0006735,0.00028746907366664407,0.03262641155305004,0.0,0.0,0.0,0.04065188498089859,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0016387,0.00020293131089064417,0.02451863906378204,0.0,0.0,0.0,0.024855305680414302,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0014671,0.00020140988785580547,0.017502640531488818,0.0,0.0,0.023476342723937078,0.013140139344987836,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0016073,0.00018969415312984367,0.023413815595327386,0.0,0.0,0.0,0.021956239406879595,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0025364,0.00012231275534206392,0.016903259821856146,0.0,0.0,0.0,0.009490011189726201,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0033538,0.00010102257520084948,0.008015038937223893,0.0,0.0,0.007420757452008656,0.008564541627679605,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0022605,9.67399055660415e-05,0.005311090013677062,0.0,0.0,0.01291587148690795,0.007301813281265616,0.0,0.0,0.03602720470713991,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0025958,9.119494770056999e-05,0.002573199861179573,0.0,0.0,0.02586345967721834,0.013170966419734224,0.0,0.0,0.0380280562082825,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0062438,8.888179652484275e-05,0.004608854056101493,0.0,0.0,0.014014375620809134,0.0074084471394609275,0.0,0.0,0.047996530084937775,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0003583,8.143047463758787e-05,0.006505307799889814,0.0,0.0,0.0,0.006788085824990578,0.0,0.0,0.025096310110962108,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0059730,7.3629349266324e-05,0.0055561549591563375,0.0,0.0,0.007346975626408741,0.0016459145527851506,0.0,0.0,0.014732003426387632,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0158513,6.555488579804012e-05,0.004688107594551787,0.0,0.0,0.0192602914285311,0.006883041270127451,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0086288,6.184121780422486e-05,0.002683121394704,0.0,0.0009014409536759831,0.0009020098702725832,0.0027591150739536357,0.0,0.0,0.0,-0.0,1.2160524914595201e-05,-0.0,0.0
tpac_16S_v2_asv0025532,6.12245992616778e-05,0.007829066118220797,0.0,0.0,0.0,0.006383261395122197,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0034649,5.980872886455607e-05,0.0044786493562013726,0.0,0.0,0.025625772477678114,0.00575913919153751,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0193219,5.7666619404088783e-05,0.0027207452096295066,0.0,0.0,0.011662345576455478,0.005502914444635026,0.0,0.0,0.015454080023587315,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0019008,5.1147844949389986e-05,0.005646897784445759,0.0,0.0,0.0,0.0076415978123825935,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0034234,4.864801499232529e-05,0.0022472264651959345,0.0,0.0,0.002595633221123399,0.0047663665634348805,0.0,0.0,0.02586259707575507,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0025691,4.599667825393684e-05,0.006562359628216064,0.0,0.0,0.0,0.003037156227892418,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0077684,4.247247986632282e-05,0.004515781665143565,0.0,0.0,0.0,0.00679332548089178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0005185,4.1908235440008776e-05,0.005635592737594607,0.0,0.0,0.0,0.003654660249012293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0045691,3.911942705582858e-05,0.0015960842836336656,0.0,0.0,0.009161580568159444,0.0043779319946429356,0.0,0.0,0.03373602901857042,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0124481,3.887091218083865e-05,0.0010265652110575335,0.0,0.0,0.002829166602187332,0.005795464817217548,0.0,0.0,0.02206777884421443,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0054016,3.771846109736566e-05,0.0034633495499584977,0.0,0.0,0.018112404150171863,0.0019812414503226914,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0013029,3.7164792966956473e-05,0.004320222486677281,0.0,0.0,0.0,0.004991544910431514,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0031108,3.684171167102558e-05,0.0011478778196472269,0.0,0.0,0.0,0.01304792775276156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0050661,3.671826435459632e-05,0.0024024195798501864,0.0,0.0,0.0,0.004432674901098696,0.0,0.0,0.039795520917113386,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0032878,3.507425701127734e-05,0.0032861014605478378,0.0,0.0,0.0030540790428187623,0.0016729901411518114,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0067980,3.3803817994698725e-05,0.0007618405201563995,0.0,0.0,0.0,0.007827119323821057,0.0,0.0,0.04764391042673438,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0138572,3.366900910424991e-05,0.0029020003985922626,0.0,0.0,0.019643013465995743,0.002258234558813104,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0008161,3.113040670133892e-05,0.0029489834711114737,0.0,0.0,0.0,0.005911655335650087,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0025141,3.0868032199023636e-05,0.00290745102333892,0.0,0.0,0.0,0.005904922946822503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0025412,2.9361867691228755e-05,0.002044589709887791,0.0,0.0,0.0,0.007479735149406535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0043347,2.8990050685200115e-05,0.004046834938388968,0.0,0.0,0.0,0.00214464732778177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0064068,2.883195704244257e-05,0.0017735050779139683,0.0,0.0,0.019226142311025388,0.0016836970685145454,0.0,0.0,0.01393125810642467,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0093692,2.867939233253737e-05,0.003314947356679924,0.0,0.0,0.0,0.003900691382335982,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0019027,2.4823322012277096e-05,0.0029952795253233074,0.0,0.0,0.0,0.003050556076892339,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0286945,2.3608525796592377e-05,0.0015459139694411288,0.0,0.0,0.0,0.0062674465255356275,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0146713,2.245420423881816e-05,0.00220461870160309,0.0,0.0,0.0007658638931910658,0.0008103545010731472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0015896,2.1358319273209888e-05,0.0022143470728402527,0.0,0.0,0.0,0.0035622364233437887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0031186,2.1122732942585122e-05,0.0022151682427618046,0.0,0.0,0.0,0.003457713189976772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0018948,2.079187667559823e-05,0.0014168640156862306,0.0,0.0,0.0,0.005376587547601377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0027477,2.07094735566469e-05,0.0025817722693225647,0.0,0.0,0.0,0.0023308388706399273,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
tpac_16S_v2_asv0029282,2.02441660303533e-05,0.0019144061467288162,0.0,0.0,0.0,0.0038529493139724635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0089666,1.6769439574106866e-05,0.0008747278245978987,0.0,0.0,0.0,0.00502895974148414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0079610,1.5854716392571453e-05,0.001242054152700734,0.0,0.0,0.0,0.0036822496438803803,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0037606,1.5643917194413673e-05,0.0011759911221988105,0.0,0.0,0.0,0.003761318287751116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0035523,1.433341307434692e-05,0.001113594490561779,0.0,0.0,0.0,0.003352908765833339,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0034281,1.3891828152890246e-05,0.0022538196411836745,0.0,0.0,0.0,0.00021481288990877993,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0092263,1.3747234850574423e-05,0.000771051214449329,0.0,0.0,0.0,0.003983192111481595,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0026128,1.2694284818741624e-05,0.000848059232807292,0.0,0.0,0.0,0.0033265340769978256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0373125,1.2439824276237835e-05,0.0007395135733967348,0.0,0.0,0.002147301184589173,0.001694001434504284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0031908,1.1826028013181281e-05,0.0007525163120834819,0.0,0.0,0.0,0.00319599915420603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0008513,1.1804943119425673e-05,0.000123310085333725,0.0,0.0,0.00264805107679295,0.0031021952781060663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0110650,1.1360383563885927e-05,0.0007104903875993302,0.0,0.0,0.0,0.0031021872087171587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0345829,1.1219704293470253e-05,0.000760570723551841,0.0,0.0,0.0,0.0029116393258388855,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0078454,1.088197371235016e-05,0.0012309466227618505,0.0,0.0,0.0,0.001549465436624036,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0043641,1.0426861826103082e-05,0.0002508444455455654,0.0,0.0,0.0,0.0038840659704262232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0025034,1.0359552157984396e-05,0.0013339767014828685,0.0,0.0,0.0,0.0010561736010384988,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0037281,1.0150085276010006e-05,0.0003850702822940351,0.0,0.0,0.0,0.0034169430742882457,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
tpac_16S_v2_asv0028332,9.922866271215484e-06,0.0008346102777091911,0.0,0.0,0.0,0.002156641394865346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpac_16S_v2_asv0157612,8.854554751242432e-06,0.0007271623035726821,0.0,0.0,0.0,0.001969910101203515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
