,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.36412090813465414,0.0,0.0,0.3419424088385674,0.2983101808314764,0.3603821590191991,0.3516819531671399,0.0,0.09365495685651481,0.09514061595884304,0.2906979771866679,0.29522125503079166
MSE,,4.845619024866383,8.694729647670217,8.869765204199142,5.01462687479717,5.347119571652878,4.874109588677666,4.940408172066094,7.748612751322305,6.906663295479802,6.895342058309401,5.405127201207479,5.370658256628808
Intercept,,,,,,,,,,-41.1173575520304,-49.51123721971692,26.944056306196348,26.93373980112478
tpac_16S_v2_asv0000308,0.07641414476738997,0.4139713958305598,0.0,0.0,0.4316414752841848,0.36656904213623526,0.408615124215006,0.408615124215006,0.41276309458168936,-0.0,0.0,-0.6513231313276474,-0.7712603281808198
remaining features,0.01461221983752143,0.13049113332597673,1.0,1.0,0.28632189531208596,0.0350089617503917,0.0,0.0,0.0,68.13793540888643,76.57559626587157,-0.0,0.0
tpac_16S_v2_asv0027597,0.011614960730511813,0.029600423885881102,0.0,0.0,0.0406175669484471,0.03199046146616609,0.10109180225791509,0.10109180225791509,0.08987042974322794,-0.0,0.0,-0.09569580391083325,-0.4639015922456263
tpac_16S_v2_asv0015112,0.010490723598113785,0.057225843133251145,0.0,0.0,0.06219131481053822,0.043021476282478224,0.07999888268942817,0.07999888268942817,0.0,-0.0,0.0,-0.03358825588496023,-0.2826287559084448
tpac_16S_v2_asv0016771,0.010484714224784841,0.06820470361463371,0.0,0.0,0.0,0.08040785208297635,0.11990929061250533,0.11990929061250533,0.0,-0.0,0.0,-0.2660942631379161,-0.15195969664436018
tpac_16S_v2_asv0009116,0.009808958813474713,0.021526394835054172,0.0,0.0,0.0,0.05043150892414679,0.14418958640431617,0.14418958640431617,0.0,0.0,0.0,0.167304614324716,0.3213160623309879
tpac_16S_v2_asv0033538,0.003957446858477981,0.011657409774540257,0.0,0.0,0.0,0.01273075267117768,0.05984419000223907,0.05984419000223907,0.0,-0.0,0.0,-0.08687839512253138,-0.377473856306853
tpac_16S_v2_asv0025364,0.0034698120720634213,0.009731671294225579,0.0,0.0,0.0,0.014806457215395596,0.051193666384569694,0.051193666384569694,0.0,-0.0,0.0,-0.03233943612986427,-0.5680265967486013
tpac_16S_v2_asv0011743,0.0023780506634208387,0.0006201338513681348,0.0,0.0,0.0,0.0003543503853969956,0.03515745743402066,0.03515745743402066,0.09266658998497168,-0.0,0.0,-0.27593657729354093,-0.28843338438757177
